mdl	fgspecies	bgspecies	om0	lnlm0	npm0	ombnfg	ombnbg	lnlbn	npbn	ombffg	ombfbg	lnlbf	npbf	pvalbfmo	pvalbfbn	inference
F1x4	Anabas_testudineus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22561	-19481.699677	35	0.24101	0.22728	-19455.12088	36	0.75509899123265	3.07833066757345e-13	nonsignificant
F1x4	Anabas_testudineus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22561	-19481.699677	35	0.24101	0.22728	-19455.12088	36	0.75509899123265	3.07833066757345e-13	nonsignificant
F1x4	Clupea_harengus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.21975	-19492.043318	35	0.14574	0.23343	-19452.166063	36	0.0142497985967743	4.23941790489675e-19	intensification_of_purifying_selection
F1x4	Clupea_harengus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.21975	-19492.043318	35	0.14574	0.23343	-19452.166063	36	0.0142497985967743	4.23941790489675e-19	intensification_of_purifying_selection
F1x4	Danio_rerio	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22132	-19466.453153	35	0.25192	0.22691	-19455.059789	36	0.639437944304596	1.81011444468904e-06	nonsignificant
F1x4	Danio_rerio	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22132	-19466.453153	35	0.25192	0.22691	-19455.059789	36	0.639437944304596	1.81011444468904e-06	nonsignificant
F1x4	Erpetoichthys_calabaricus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus	0.22782	-19455.169528	35	1	0.22062	-19484.498789	35	0.20731	0.22874	-19455.049439	36	0.62407758335349	1.66001857773733e-14	nonsignificant
F1x4	Erpetoichthys_calabaricus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus	0.22782	-19455.169528	35	1	0.22062	-19484.498789	35	0.20731	0.22874	-19455.049439	36	0.62407758335349	1.66001857773733e-14	nonsignificant
F1x4	Fundulus_heteroclitus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.2211	-19464.005429	35	0.3219	0.22474	-19453.807649	36	0.0988650003269067	6.29757372111405e-06	nonsignificant
F1x4	Fundulus_heteroclitus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.2211	-19464.005429	35	0.3219	0.22474	-19453.807649	36	0.0988650003269067	6.29757372111405e-06	nonsignificant
