Urocitellus_parryii	Sciurus_vulgaris	Rattus_rattus	Rattus_norvegicus	Psammomys_obesus	Peromyscus_maniculatus	Peromyscus_leucopus	Onychomys_torridus	Nannospalax_galili	Mus_spretus	Mus_spicilegus	Mus_pahari	Mus_musculus	Mus_caroli	Microtus_ochrogaster	Meriones_unguiculatus	Marmota_marmota	Marmota_flaviventris	Jaculus_jaculus	Ictidomys_tridecemlineatus	Heterocephalus_glaber	Fukomys_damarensis	Cricetulus_griseus	Cavia_porcellus	Castor_canadensis	Arvicola_amphibius	
0.0046061	0.082917	0.0017545	0.0025866	0.069273	0.11968	0.0047781	0.00015658	4.7773e-05	0.1677	0.0062056	0.00011395	0.00048296	0.0008835	0.0064021	0.0025398	0.0016205	0.0018574	0.057606	0.00090477	0.00022589	0.00011172	7.4189e-05	6.1764e-05	6.8026e-05	0.00030641	
0.004601	0.082498	0.0017529	0.0025841	0.069331	0.1191	0.0047747	0.00015533	4.7216e-05	0.16786	0.0061995	0.00011275	0.00048044	0.00088243	0.006399	0.002532	0.0016165	0.0018558	0.056972	0.00090296	0.00022347	0.00011038	7.3378e-05	6.1032e-05	6.7325e-05	0.00030358	
0.0045958	0.082078	0.0017514	0.0025816	0.069389	0.11854	0.0047715	0.00015413	4.6659e-05	0.16802	0.0061935	0.00011165	0.00047794	0.00088144	0.0063967	0.0025243	0.0016126	0.0018541	0.056337	0.00090115	0.00022104	0.00010905	7.2646e-05	6.03e-05	6.6623e-05	0.00030089	
0.0044341	0.068738	0.0017035	0.0025039	0.071214	0.10039	0.004668	0.00011557	2.9103e-05	0.17314	0.0060024	7.5415e-05	0.00039876	0.00084897	0.0063126	0.0022802	0.0014891	0.0018022	0.036083	0.00084398	0.00014462	6.7092e-05	4.8367e-05	3.722e-05	4.4506e-05	0.00021382	
0.0044288	0.068297	0.0017019	0.0025013	0.071273	0.099777	0.0046645	0.00011427	2.8528e-05	0.1733	0.005996	7.416e-05	0.00039614	0.00084784	0.0063093	0.0022722	0.0014851	0.0018005	0.035411	0.00084211	0.00014211	6.5716e-05	4.7518e-05	3.6463e-05	4.3781e-05	0.00021087	
0.0044235	0.067855	0.0017004	0.0024988	0.071333	0.099179	0.0046612	0.00011303	2.7952e-05	0.17347	0.0059898	7.3031e-05	0.00039356	0.00084683	0.006307	0.0022642	0.001481	0.0017988	0.034738	0.00084023	0.0001396	6.4339e-05	4.6769e-05	3.5706e-05	4.3055e-05	0.0002081	
0.0044181	0.067412	0.001699	0.0024964	0.071393	0.098593	0.0046581	0.00011187	2.7375e-05	0.1735	0.0059838	7.202e-05	0.00039102	0.00084111	0.0063057	0.0022562	0.001477	0.0017971	0.034064	0.00083835	0.00013709	6.2961e-05	4.6111e-05	3.4948e-05	4.2329e-05	0.00020551	
0.0044128	0.066969	0.0016975	0.0024939	0.071453	0.098	0.0046548	0.00011067	2.6798e-05	0.17353	0.0059778	7.1137e-05	0.00038851	0.0008354	0.0063039	0.0022482	0.0014729	0.0017954	0.033389	0.00083647	0.00013458	6.1582e-05	4.5407e-05	3.4189e-05	4.1602e-05	0.00020282	
0.0044075	0.066525	0.0016962	0.0024915	0.071513	0.097398	0.0046515	0.00010943	2.622e-05	0.17356	0.0059718	7.0189e-05	0.00038597	0.00082968	0.0063033	0.0022401	0.0014689	0.0017937	0.032713	0.00083459	0.00013207	6.0201e-05	4.4452e-05	3.343e-05	4.0874e-05	0.00020034	
0.0044022	0.066081	0.0016948	0.0024891	0.071574	0.09679	0.0046481	0.00010816	2.5642e-05	0.17359	0.0059657	6.9183e-05	0.00038342	0.00082397	0.0063022	0.0022321	0.0014648	0.001792	0.032035	0.00083271	0.00012955	5.8819e-05	4.3435e-05	3.2669e-05	4.0145e-05	0.00019776	
0.0043968	0.065636	0.0016855	0.0024869	0.071634	0.096194	0.0046449	0.00010696	2.5063e-05	0.17362	0.0059598	6.8294e-05	0.0003809	0.00081826	0.0063021	0.002224	0.0014607	0.0017903	0.031357	0.00083082	0.00012703	5.7435e-05	4.2545e-05	3.1908e-05	3.9416e-05	0.00019537	
0.0043915	0.06519	0.0016745	0.0024836	0.071694	0.095611	0.0046418	0.00010583	2.4484e-05	0.17365	0.005954	6.7514e-05	0.00037842	0.00081255	0.0063031	0.002216	0.0014567	0.0017885	0.030677	0.00082894	0.00012451	5.605e-05	4.1769e-05	3.1146e-05	3.8686e-05	0.00019315	
