Zonotrichia_albicollis	Upupa_epops	Tyto_alba	Tinamus_guttatus	Tauraco_erythrolophus	Taeniopygia_guttata	Struthio_camelus	Strigops_habroptila	Stachyridopsis_ruficeps	Spheniscus_demersus	Serinus_canaria	Rhea_americana	Pygoscelis_adeliae	Pterocles_gutturalis	Podilymbus_podiceps	Phoenicopterus_ruber	Phalacrocorax_carbo	Phaethon_lepturus	Passer_domesticus	Parus_major	Oxyura_jamaicensis	Oriolus_oriolus	Opisthocomus_hoazin	Nothoprocta_perdicaria	Nipponia_nippon	Nettapus_auritus	Nestor_notabilis	Mesitornis_unicolor	Merops_nubicus	Melopsittacus_undulatus	Manacus_vitellinus	Malurus_cyaneus	Lonchura_striata	Leptosomus_discolor	Haliaeetus_leucocephalus	Gymnogyps_californianus	Geospiza_fortis	Geococcyx_californianus	Gavia_stellata	Galbula_dea	Fulmarus_glacialis	Ficedula_albicollis	Falco_tinnunculus	Falco_peregrinus	Egretta_garzetta	Dryobates_pubescens	Dromaius_novaehollandiae	Cygnus_olor	Cygnus_atratus	Cuculus_canorus	Corythaeola_cristata	Corvus_moneduloides	Corvus_brachyrhynchos	Columba_livia	Coloeus_monedula	Cnemophilus_loriae	Ciconia_maguari	Chloebia_gouldiae	Chlamydotis_macqueenii	Cathartes_aura	Casuarius_casuarius	Cariama_cristata	Camarhynchus_parvulus	Calypte_anna	Calidris_pugnax	Cairina_moschata	Buteo_japonicus	Buceros_rhinoceros	Branta_canadensis	Aythya_fuligula	Asarcornis_scutulata	Aquila_chrysaetos	Apteryx_rowi	Apteryx_australis	Aptenodytes_forsteri	Apaloderma_vittatum	Antrostomus_carolinensis	Anser_cygnoides	Anser_brachyrhynchus	Anseranas_semipalmata	Anas_platyrhynchos	Acanthisitta_chloris	
0.82862	2.901e-05	0.00054024	0.15485	0.00079652	0.0049973	0.016866	3.1993e-05	9.6403e-05	9.1349e-05	7.6625e-05	0.00040589	5.3221e-05	2.1391e-05	1.8437e-05	0.00025857	0.00014946	0.0001748	0.00038102	1.832e-05	3.6542e-05	0.00034305	6.8041e-05	0.18219	1.3818e-05	0.00020352	4.8683e-05	3.0264e-05	4.7838e-06	6.995e-06	1.1871e-05	1.5615e-05	0.0053097	6.5426e-05	0.76701	0.0039183	0.0028978	2.5663e-05	1.0001e-05	2.5343e-05	0.0001038	0.00070552	0.011708	0.00085909	1.2458e-05	5.2711e-06	0.00052751	0.0014094	0.00014609	0.00016988	0.00039256	0.0014959	0.01	1.4661e-05	0.020345	0.00043585	9.0359e-05	0.00054823	8.8635e-06	0.78887	0.00025392	0.00010033	0.0073368	2.8963e-05	6.5891e-06	0.00025183	0.0015919	0.0073548	0.0044828	0.0035859	0.0019474	0.00081906	0.010948	0.0076413	0.0075458	8.3728e-06	2.3584e-05	0.00041921	0.0063732	0.00014638	0.00069728	7.2186e-06	
0.82922	2.838e-05	0.00053987	0.15437	0.00079548	0.0049987	0.01688	2.9804e-05	9.5503e-05	8.9963e-05	7.4972e-05	0.00040239	5.0624e-05	2.0764e-05	1.7562e-05	0.00025598	0.00014716	0.00017427	0.00037363	1.5821e-05	3.4985e-05	0.00033988	6.6251e-05	0.17988	1.2677e-05	0.00020144	4.6702e-05	2.8761e-05	3.798e-06	6.1689e-06	1.1105e-05	1.2905e-05	0.00531	6.4351e-05	0.76774	0.0039174	0.0028945	2.4919e-05	8.1835e-06	2.2492e-05	9.9303e-05	0.00070215	0.011715	0.00085377	1.2001e-05	4.7723e-06	0.0005248	0.0014065	0.00014378	0.0001664	0.00039045	0.0014916	0.01	1.4326e-05	0.020343	0.00043444	8.8127e-05	0.00054663	8.1252e-06	0.78962	0.00025246	9.4344e-05	0.0073354	2.7437e-05	6.169e-06	0.00024296	0.0015878	0.007359	0.0044829	0.003583	0.001944	0.00081776	0.010944	0.0076389	0.0075334	6.3262e-06	2.2588e-05	0.00041492	0.0063708	0.00014403	0.00069452	6.8912e-06	
0.82986	2.7749e-05	0.00053959	0.15395	0.00079452	0.0050002	0.016895	2.7664e-05	9.4656e-05	8.8609e-05	7.3376e-05	0.00039912	4.8111e-05	2.0173e-05	1.6728e-05	0.00025349	0.00014501	0.00017378	0.00036652	1.3405e-05	3.3428e-05	0.00033685	6.4459e-05	0.17781	1.1568e-05	0.00019935	4.4779e-05	2.7334e-05	2.9078e-06	5.3848e-06	1.0392e-05	1.0285e-05	0.0053105	6.3332e-05	0.76848	0.0039166	0.0028911	2.4236e-05	6.414e-06	1.9805e-05	9.4913e-05	0.000699	0.011723	0.00084849	1.1575e-05	4.3111e-06	0.00052214	0.0014037	0.00014148	0.00016306	0.00038839	0.0014873	0.01	1.399e-05	0.020341	0.00043312	8.6016e-05	0.00054509	7.4409e-06	0.79037	0.00025102	8.8569e-05	0.0073339	2.591e-05	5.7866e-06	0.00023422	0.0015838	0.0073633	0.0044831	0.0035801	0.0019407	0.00081648	0.010939	0.0076364	0.0075214	4.4206e-06	2.159e-05	0.00041062	0.0063685	0.00014179	0.00069183	6.6157e-06	
0.83048	2.7117e-05	0.00053927	0.1535	0.00079353	0.0050016	0.016909	2.5504e-05	9.3789e-05	8.7242e-05	7.1758e-05	0.00039576	4.5566e-05	1.9569e-05	1.5879e-05	0.00025096	0.00014281	0.00017327	0.0003593	1.0956e-05	3.1868e-05	0.00033377	6.2666e-05	0.17565	1.0446e-05	0.00019727	4.2833e-05	2.5879e-05	1.9837e-06	4.585e-06	9.6597e-06	7.6299e-06	0.0053109	6.2292e-05	0.76921	0.0039158	0.0028877	2.3531e-05	4.6251e-06	1.7057e-05	9.0478e-05	0.00069577	0.011731	0.00084319	1.1139e-05	3.8363e-06	0.00051945	0.0014009	0.00013917	0.00015967	0.00038631	0.0014829	0.01	1.3654e-05	0.020338	0.00043177	8.386e-05	0.00054352	6.7369e-06	0.79111	0.00024956	8.2712e-05	0.0073324	2.4381e-05	5.3907e-06	0.00022543	0.0015798	0.0073675	0.0044832	0.0035772	0.0019373	0.0008152	0.010935	0.007634	0.0075092	2.4635e-06	2.0592e-05	0.00040633	0.0063661	0.00013951	0.00068911	6.3224e-06	
0.83116	2.6485e-05	0.00053905	0.15311	0.00079264	0.0050032	0.016925	2.3404e-05	9.2985e-05	8.5914e-05	7.0208e-05	0.00039268	4.312e-05	1.9007e-05	1.5078e-05	0.00024856	0.00014079	0.00016994	0.00035242	8.6075e-06	3.0307e-05	0.00033087	6.087e-05	0.17377	9.3628e-06	0.00019518	4.0957e-05	2.4514e-05	1.1681e-06	3.8348e-06	8.9901e-06	5.0844e-06	0.0053115	6.1319e-05	0.76996	0.0039151	0.0028843	2.2897e-05	2.8947e-06	1.4501e-05	8.6175e-05	0.00069279	0.011738	0.00083793	1.0739e-05	3.405e-06	0.00051682	0.0013981	0.00013688	0.00015646	0.00038429	0.0014787	0.01	1.3317e-05	0.020336	0.00043053	8.1848e-05	0.00054202	6.0955e-06	0.79187	0.00024813	7.711e-05	0.0073309	2.2851e-05	5.038e-06	0.0002168	0.0015758	0.0073718	0.0044834	0.0035742	0.001934	0.00081394	0.010931	0.0076315	0.0074976	6.7035e-07	1.9592e-05	0.00040204	0.0063638	0.00013737	0.00068648	6.0857e-06	
0.83182	2.5852e-05	0.00053878	0.15269	0.0007917	0.0050047	0.016941	2.127e-05	9.2147e-05	8.4563e-05	6.8621e-05	0.00038946	4.0619e-05	1.8422e-05	1.4251e-05	0.00024608	0.00013867	0.00016653	0.00034536	8.3807e-06	2.8745e-05	0.00032787	5.9073e-05	0.17173	8.2577e-06	0.00019309	3.9041e-05	2.31e-05	1.0783e-06	3.058e-06	8.2873e-06	4.8021e-06	0.005312	6.0308e-05	0.77071	0.0039143	0.0028809	2.2225e-05	2.6975e-06	1.1842e-05	8.1796e-05	0.00068968	0.011746	0.00083264	1.032e-05	2.9508e-06	0.00051415	0.0013953	0.00013458	0.00015315	0.00038223	0.0014744	0.01	1.2981e-05	0.020333	0.00042923	7.9759e-05	0.00054048	5.4212e-06	0.79263	0.00024668	7.1367e-05	0.0073294	2.1319e-05	4.6629e-06	0.00020807	0.0015718	0.0073761	0.0044836	0.0035713	0.0019306	0.00081267	0.010926	0.0076291	0.0074857	4.5112e-07	1.8592e-05	0.00039773	0.0063614	0.00013515	0.0006838	5.8208e-06	
0.83253	2.5218e-05	0.00053861	0.15235	0.00079087	0.0050063	0.016958	1.921e-05	9.1385e-05	8.326e-05	6.7118e-05	0.00038657	3.8242e-05	1.7889e-05	1.3482e-05	0.00024376	0.00013678	0.00016333	0.00033872	8.1693e-06	2.7181e-05	0.00032509	5.7274e-05	0.17003	7.1999e-06	0.000191	3.7211e-05	2.1796e-05	1.0038e-06	2.341e-06	7.6591e-06	4.5347e-06	0.0053128	5.9379e-05	0.77147	0.0039136	0.0028775	2.1637e-05	2.5074e-06	9.4141e-06	7.758e-05	0.00068689	0.011754	0.00082741	9.9453e-06	2.5482e-06	0.00051154	0.0013926	0.00013231	0.00015005	0.00038025	0.0014701	0.01	1.2643e-05	0.020331	0.00042807	7.7844e-05	0.00053902	4.8211e-06	0.79339	0.00024526	6.5937e-05	0.007328	1.9785e-05	4.3385e-06	0.00019956	0.0015679	0.0073803	0.0044838	0.0035684	0.0019273	0.00081144	0.010922	0.0076267	0.0074744	2.5281e-07	1.759e-05	0.00039345	0.0063591	0.0001331	0.00068123	5.6194e-06	
0.83334	2.4584e-05	0.00053859	0.15208	0.00079021	0.005008	0.016977	1.7241e-05	9.0712e-05	8.2015e-05	6.572e-05	0.00038408	3.6012e-05	1.7414e-05	1.2783e-05	0.00024161	0.00013514	0.00015286	0.00031605	7.9769e-06	2.5615e-05	0.00032257	5.5473e-05	0.1687	6.1991e-06	0.0001889	3.5484e-05	2.0618e-05	9.4608e-07	1.693e-06	7.1144e-06	4.2854e-06	0.0053139	5.8544e-05	0.77225	0.0039129	0.0028741	2.1142e-05	2.3263e-06	7.2493e-06	7.3561e-05	0.00068447	0.011762	0.00082225	9.6211e-06	2.2026e-06	0.00050901	0.0013899	0.00013008	0.00014722	0.00037836	0.0014659	0.01	1.2306e-05	0.020329	0.00042284	7.6131e-05	0.00053765	4.3034e-06	0.79417	0.00024386	6.088e-05	0.0073265	1.825e-05	4.0689e-06	0.0001913	0.0015642	0.0073846	0.0044841	0.0035656	0.001924	0.00081027	0.010918	0.0076243	0.0074639	7.7317e-08	1.6588e-05	0.00038917	0.0063569	0.00013125	0.0006788	5.4797e-06	
0.83412	2.3949e-05	0.0005385	0.15172	0.00078946	0.0050097	0.016995	1.5218e-05	9.0114e-05	8.0737e-05	6.4271e-05	0.00038137	3.3699e-05	1.6925e-05	1.2045e-05	0.00023936	0.00013336	0.00014196	0.00029261	7.7997e-06	2.4048e-05	0.00031363	5.367e-05	0.17013	6.0808e-06	0.00018681	3.3698e-05	1.9371e-05	8.7663e-07	1.6065e-06	6.6426e-06	4.0504e-06	0.0053149	5.7657e-05	0.77301	0.0039123	0.0028707	2.0598e-05	2.135e-06	6.9513e-06	6.9429e-05	0.00068238	0.01177	0.00081705	9.2645e-06	1.8161e-06	0.00050643	0.0013872	0.00012783	0.00014424	0.00037642	0.0014618	0.01	1.1968e-05	0.020327	0.00041799	7.4308e-05	0.00053623	3.7418e-06	0.79494	0.00024245	5.5614e-05	0.007325	1.6714e-05	3.7705e-06	0.00018289	0.0015604	0.0073889	0.0044843	0.0035627	0.0019207	0.00080906	0.010913	0.0076219	0.007453	5.3554e-08	1.5585e-05	0.00038489	0.0063546	0.00012929	0.0006763	5.082e-06	
0.83486	2.3314e-05	0.00053833	0.15133	0.00078863	0.0050113	0.017012	1.5008e-05	8.9474e-05	7.9428e-05	6.277e-05	0.00037847	3.131e-05	1.6406e-05	1.1273e-05	0.00023702	0.00013145	0.00013068	0.00026837	8.27e-06	2.2479e-05	0.00030435	5.1866e-05	0.17137	5.9548e-06	0.00018471	3.1859e-05	1.806e-05	8.0033e-07	1.5125e-06	6.136e-06	4.2723e-06	0.0053157	5.6722e-05	0.77378	0.0039115	0.0028673	2.0007e-05	1.9342e-06	6.6242e-06	6.5194e-05	0.00068011	0.011778	0.0008118	8.8821e-06	1.3999e-06	0.00050381	0.0013845	0.00012555	0.00014113	0.00037443	0.0014577	0.01	1.163e-05	0.020325	0.00041294	7.2382e-05	0.00053476	3.1384e-06	0.7957	0.00024102	5.0157e-05	0.0073235	1.5176e-05	3.4444e-06	0.00017434	0.0015565	0.0073932	0.0044845	0.0035598	0.0019174	0.00080783	0.010909	0.0076195	0.0074417	7.2838e-08	1.458e-05	0.00038058	0.0063523	0.00012722	0.00067372	4.6191e-06	
