Trachemys_scripta	Terrapene_carolina	Pelodiscus_sinensis	Mauremys_reevesii	Gopherus_evgoodei	Dermochelys_coriacea	Chrysemys_picta	Chelonoidis_abingdonii	Chelonia_mydas	
0.0011436	5.9727e-05	4.4682e-06	0.00015389	0.00030407	6.6397e-05	0.00033173	0.00024099	5.2561e-05	
0.0011406	5.6908e-05	3.4226e-06	0.00015208	0.00030075	6.509e-05	0.00032537	0.0002396	5.1091e-05	
0.0011375	5.4115e-05	2.5504e-06	0.00015032	0.00029746	6.3812e-05	0.00031909	0.00023823	4.9677e-05	
0.0011344	5.1302e-05	1.5745e-06	0.00014852	0.00029415	6.2514e-05	0.00031275	0.00023685	4.8226e-05	
0.0011313	4.8469e-05	1.4393e-06	0.0001467	0.00029543	6.1196e-05	0.00030635	0.00023541	4.674e-05	
0.0011283	4.5668e-05	1.3339e-06	0.00014493	0.00029674	5.9916e-05	0.00030005	0.00023402	4.5323e-05	
0.0011252	4.2892e-05	1.2494e-06	0.00014321	0.00029807	5.8665e-05	0.00029383	0.00023267	4.3962e-05	
0.0011222	4.0096e-05	1.1557e-06	0.00014146	0.00029938	5.7393e-05	0.00028755	0.00023129	4.2563e-05	
0.0011191	3.7281e-05	1.0468e-06	0.00013967	0.00030067	5.6103e-05	0.00028838	0.00022989	4.1131e-05	
0.001116	3.4491e-05	9.5811e-07	0.00013794	0.00030198	5.4842e-05	0.00028924	0.00022852	3.9755e-05	
0.001113	3.1732e-05	8.8997e-07	0.00013627	0.00030332	5.3617e-05	0.00029012	0.0002272	3.8442e-05	
0.00111	2.8997e-05	8.3616e-07	0.00013464	0.00030469	5.2421e-05	0.00029104	0.00022591	3.7181e-05	
0.001107	2.6245e-05	7.7098e-07	0.00013298	0.00030604	5.1206e-05	0.00029192	0.0002246	3.5889e-05	
0.0011039	2.5972e-05	6.9376e-07	0.00013129	0.00030737	4.9973e-05	0.00029277	0.00022327	3.4565e-05	
0.0011009	2.57e-05	6.3104e-07	0.00012965	0.00030872	4.8769e-05	0.00029365	0.00022197	3.3293e-05	
0.0010978	2.5418e-05	5.5578e-07	0.00012798	0.00031005	4.7545e-05	0.00029449	0.00022065	3.1987e-05	
0.0010948	2.5129e-05	4.6826e-07	0.00012627	0.00031135	4.6302e-05	0.00029531	0.00021931	3.0648e-05	
0.0010917	2.4841e-05	3.9958e-07	0.00012463	0.00031269	4.5093e-05	0.00029615	0.00021801	2.9371e-05	
0.0010887	2.4555e-05	3.4514e-07	0.00012304	0.00031406	4.3918e-05	0.00029703	0.00021675	2.8153e-05	
0.0010857	2.5481e-05	2.8086e-07	0.00012142	0.0003154	4.2726e-05	0.00029787	0.00021804	2.6905e-05	
0.0010827	2.6413e-05	2.2704e-07	0.00011984	0.00031676	4.1561e-05	0.00029875	0.00021937	2.5705e-05	
0.0010798	2.7352e-05	1.8181e-07	0.00011831	0.00031815	4.0423e-05	0.00029964	0.00022073	2.4551e-05	
0.0010768	2.8298e-05	1.4524e-07	0.00011683	0.00031957	3.9316e-05	0.00030057	0.00022214	2.345e-05	
0.0010739	2.9225e-05	1.0121e-07	0.00011748	0.00032097	3.8192e-05	0.00030153	0.00022352	2.2321e-05	
0.0010711	3.016e-05	6.4755e-08	0.00011817	0.00031974	3.7099e-05	0.00030252	0.00022496	2.1244e-05	
0.0010682	3.1101e-05	3.2897e-08	0.00011889	0.00031854	3.6032e-05	0.00030354	0.00022644	2.0208e-05	
0.0010654	3.2031e-05	3.4719e-08	0.00011959	0.00031732	3.4946e-05	0.00030452	0.0002279	1.9144e-05	
0.0010625	3.2967e-05	3.6458e-08	0.00012031	0.00031613	3.3884e-05	0.00030553	0.00022939	1.812e-05	
0.0010597	3.3892e-05	3.4067e-08	0.00012101	0.00031491	3.2805e-05	0.00030651	0.00023085	1.7067e-05	
0.0010568	3.4806e-05	2.7685e-08	0.00012169	0.00031366	3.171e-05	0.00030746	0.0002323	1.5989e-05	
0.0010539	3.5708e-05	4.6703e-08	0.00012235	0.0003124	3.0596e-05	0.00030837	0.00023372	1.4881e-05	
0.001051	3.6599e-05	6.0866e-08	0.00012299	0.00031111	3.0616e-05	0.00030926	0.00023511	1.3701e-05	
0.0010481	3.7497e-05	7.6695e-08	0.00012366	0.00030985	3.0644e-05	0.00031016	0.00023654	1.2565e-05	
0.0010452	3.8403e-05	9.5653e-08	0.00012436	0.00030862	3.068e-05	0.00031111	0.00023802	1.1479e-05	
0.0010424	3.9315e-05	1.1752e-07	0.00012509	0.00030741	3.0724e-05	0.00031207	0.00023953	1.0432e-05	
0.0010395	4.0215e-05	1.3344e-07	0.0001258	0.00030618	3.0759e-05	0.000313	0.00024102	9.3578e-06	
0.0010367	4.1105e-05	1.4394e-07	0.00012648	0.00030493	3.0781e-05	0.00031391	0.00024249	9.2692e-06	
0.0010338	4.2004e-05	1.5826e-07	0.0001272	0.00030371	3.0811e-05	0.00031484	0.000244	9.1893e-06	
0.001031	4.2908e-05	1.7587e-07	0.00012795	0.00030251	3.0849e-05	0.0003158	0.00024554	9.116e-06	
0.0010282	4.382e-05	1.9732e-07	0.00012873	0.00030134	3.0893e-05	0.00031679	0.00024713	9.0493e-06	
0.0010254	4.4737e-05	2.2328e-07	0.00012953	0.00030019	3.0945e-05	0.0003178	0.00024876	8.9891e-06	
0.0010227	4.5662e-05	2.5458e-07	0.00013037	0.00029906	3.1003e-05	0.00031884	0.00025042	8.9353e-06	
0.00102	4.6595e-05	2.3884e-07	0.00013124	0.00029797	3.107e-05	0.00031991	0.00025213	8.8894e-06	
0.0010172	4.7517e-05	2.1634e-07	0.00013208	0.00029685	3.1129e-05	0.00032095	0.00025382	8.8349e-06	
0.0010145	4.8447e-05	1.9943e-07	0.00013297	0.00029576	3.1197e-05	0.00032202	0.00025555	8.7883e-06	
0.0010118	4.9387e-05	1.8737e-07	0.00013389	0.00029469	3.1274e-05	0.00032312	0.00025733	8.7495e-06	
