Sylvilagus_bachmani	Oryctolagus_cuniculus	Ochotona_princeps	Ochotona_curzoniae	Lepus_timidus	Lepus_americanus	
0.00056988	0.021847	0.065971	0.00034644	0.00099861	0.00030042	
0.00056589	0.02185	0.065265	0.00033946	0.00099534	0.00029695	
0.00056202	0.021853	0.064583	0.00033269	0.00099211	0.0002935	
0.00055809	0.021855	0.063889	0.00032583	0.00098886	0.00029003	
0.0005541	0.021858	0.063182	0.00031886	0.00098558	0.00028655	
0.00055006	0.02186	0.062465	0.0003118	0.00098229	0.00028306	
0.00054598	0.021861	0.061737	0.00030465	0.00097897	0.00027955	
0.00054183	0.021863	0.061036	0.00029774	0.00097563	0.00027603	
0.00053764	0.021864	0.060325	0.00029075	0.00097227	0.00027249	
0.00053339	0.021864	0.059602	0.00028366	0.00096889	0.00026894	
0.00052928	0.021866	0.058906	0.00027681	0.00096555	0.00026542	
0.0005251	0.021867	0.058198	0.00026986	0.0009622	0.00026188	
0.00052088	0.021868	0.057477	0.00026279	0.00095882	0.00025832	
0.0005166	0.021869	0.056744	0.00025563	0.00095542	0.00025475	
0.00051246	0.02187	0.056038	0.00024871	0.00095206	0.00025121	
0.00050826	0.021872	0.055321	0.0002417	0.00094869	0.00024766	
0.0005042	0.021874	0.054631	0.00023493	0.00094536	0.00024413	
0.00050007	0.021876	0.053928	0.00022805	0.00094201	0.00024058	
0.0004959	0.021877	0.053214	0.00022107	0.00093864	0.00023702	
0.00049184	0.021879	0.052486	0.00021398	0.00093532	0.00023349	
0.00048791	0.021883	0.051782	0.00020711	0.00093203	0.00022998	
0.00048392	0.021886	0.051067	0.00020014	0.00092873	0.00022645	
0.00047987	0.021888	0.050163	0.00019978	0.0009254	0.00022291	
0.00047577	0.02189	0.049061	0.00020521	0.00092204	0.00021936	
0.00047162	0.021892	0.047943	0.00021058	0.00091867	0.00021579	
0.00046758	0.021895	0.04686	0.0002161	0.00091534	0.00021224	
0.00046366	0.021899	0.04581	0.0002218	0.00091205	0.00020872	
0.00045984	0.021903	0.044792	0.00022766	0.0009088	0.00020521	
0.00045597	0.021907	0.043758	0.00023344	0.00090553	0.0002017	
