Vombatus_ursinus	Trichosurus_vulpecula	Thylacinus_cynocephalus	Tachyglossus_aculeatus	Sarcophilus_harrisii	Phascolarctos_cinereus	Ornithorhynchus_anatinus	Monodelphis_domestica	Macropus_eugenii	Gracilinanus_agilis	Dromiciops_gliroides	Antechinus_flavipes	
0.00011584	0.0001871	0.00018652	0.00026663	0.00056204	0.00044487	0.94559	0.00019968	3.936e-05	0.00011952	9.8992e-05	0.00013512	
0.00011428	0.00018271	0.00018333	0.0002607	0.00055686	0.00044157	0.94661	0.00019613	3.7652e-05	0.00011604	9.5797e-05	0.0001316	
0.00011282	0.00017861	0.00018033	0.00025528	0.00055184	0.00043842	0.94776	0.00019286	3.6106e-05	0.00011272	9.2952e-05	0.00012817	
0.00011131	0.00017434	0.00017721	0.00024957	0.00054673	0.00043519	0.94884	0.00018943	3.447e-05	0.00010931	8.9915e-05	0.00012469	
0.00010989	0.00017038	0.00017429	0.0002435	0.0005418	0.00043211	0.94983	0.00018629	3.2999e-05	0.00010607	8.7234e-05	0.00012131	
0.00010842	0.00016625	0.00017126	0.00023804	0.00053676	0.00042895	0.95099	0.00018299	3.144e-05	0.00010273	8.4364e-05	0.00011787	
0.00010705	0.00016244	0.00016808	0.00023321	0.00053161	0.00042595	0.95235	0.00017999	3.0048e-05	9.9574e-05	8.1855e-05	0.00011436	
0.00010562	0.00015844	0.00016478	0.00022805	0.00052634	0.00042284	0.9536	0.00017681	2.8557e-05	9.6305e-05	7.9135e-05	0.00011078	
0.00010429	0.00015474	0.0001617	0.00021404	0.00052127	0.0004199	0.95555	0.00017393	2.7227e-05	9.3215e-05	7.6758e-05	0.00010733	
0.00010305	0.00015134	0.00015881	0.00019915	0.00051641	0.00041712	0.95735	0.00017131	2.6041e-05	9.0296e-05	7.4686e-05	0.00010399	
0.00010175	0.00014776	0.0001558	0.00018426	0.00051141	0.00041424	0.95914	0.00016853	2.4768e-05	8.7271e-05	7.2433e-05	0.00010057	
