Tapirus_terrestris	Tapirus_indicus	Rhinoceros_unicornis	Equus_przewalskii	Equus_caballus	Equus_asinus	Diceros_bicornis	Dicerorhinus_sumatrensis	Ceratotherium_simum	
0.00070243	0.00025047	0.0026144	0.01	0.01	0.00069514	0.039556	0.00059026	0.0002285	
0.00070146	0.00024654	0.0026091	0.01	0.01	0.00069379	0.039582	0.00058213	0.00022654	
0.00070053	0.00024265	0.0026041	0.01	0.01	0.00069249	0.039608	0.00057414	0.00022459	
0.00069958	0.00023873	0.0025989	0.01	0.01	0.00069116	0.039634	0.00056606	0.00022263	
0.00069867	0.00023486	0.002594	0.01	0.01	0.00068988	0.039661	0.00055811	0.00022068	
0.00069774	0.00023096	0.0025889	0.01	0.01	0.00068857	0.039687	0.00055008	0.00021873	
0.00069686	0.0002271	0.0025841	0.01	0.01	0.00068732	0.039713	0.00054219	0.00021678	
0.00069595	0.00022322	0.0025791	0.01	0.01	0.00068603	0.03974	0.0005342	0.00021483	
0.00069501	0.00021929	0.002574	0.01	0.01	0.00068471	0.039766	0.00052613	0.00021286	
0.00069404	0.00021534	0.0025687	0.01	0.01	0.00068067	0.039792	0.00051798	0.00021089	
0.00069313	0.00021145	0.0025634	0.01	0.01	0.00067658	0.039818	0.00050971	0.0002089	
0.0006922	0.00020753	0.0025579	0.01	0.01	0.00067242	0.039844	0.00050134	0.0002069	
0.00069132	0.00020366	0.0025522	0.01	0.01	0.00066822	0.039869	0.00049289	0.00020488	
0.00069003	0.0002037	0.0025464	0.01	0.01	0.00066397	0.039894	0.00048434	0.00020286	
0.0006888	0.00020375	0.0025404	0.01	0.01	0.00065965	0.039919	0.00047569	0.00020082	
0.00068754	0.00020378	0.0025342	0.01	0.01	0.00065528	0.039944	0.00046693	0.00019878	
0.00068634	0.00020384	0.0025283	0.01	0.01	0.00065102	0.03997	0.00045835	0.00019674	
0.0006851	0.00020387	0.0025223	0.01	0.01	0.00064915	0.039995	0.00044966	0.0001947	
0.00068383	0.00020388	0.0025161	0.01	0.01	0.00064684	0.04002	0.00044086	0.00019264	
0.00067819	0.00020396	0.0025102	0.01	0.01	0.00064459	0.040045	0.00043222	0.0001906	
0.0006727	0.00020406	0.0025045	0.01	0.01	0.0006424	0.040071	0.00042373	0.00018858	
0.00066714	0.00020413	0.0024987	0.01	0.01	0.00064018	0.040096	0.00041515	0.00018654	
0.00066149	0.00020419	0.0024927	0.01	0.01	0.00063792	0.040121	0.00040646	0.00018449	
0.00065578	0.00020423	0.0024866	0.01	0.01	0.00063563	0.040147	0.00039769	0.00018243	
0.00065021	0.00020429	0.0024803	0.01	0.01	0.0006333	0.040172	0.00038882	0.00018036	
0.00064478	0.00020436	0.0024743	0.01	0.01	0.00063103	0.040197	0.00038011	0.00017831	
0.0006395	0.00020445	0.0024686	0.01	0.01	0.00062883	0.040223	0.00037154	0.00017627	
0.00063434	0.00020456	0.0024631	0.01	0.01	0.00062669	0.040249	0.00036312	0.00017424	
0.00062911	0.00020465	0.0024575	0.01	0.01	0.00062452	0.040275	0.0003546	0.00017221	
0.00062381	0.00020472	0.0024517	0.01	0.01	0.0006223	0.040301	0.00034599	0.00017016	
0.00061843	0.00020477	0.0024273	0.01	0.01	0.00062006	0.040327	0.00033792	0.00016813	
0.0006132	0.00020483	0.0024037	0.01	0.01	0.00061788	0.040354	0.00033001	0.00016612	
0.0006081	0.00020492	0.0023807	0.01	0.01	0.00061577	0.040381	0.00032223	0.00016412	
0.00060315	0.00020502	0.0023585	0.01	0.01	0.00061373	0.040409	0.00031459	0.00016214	
0.00059832	0.00020514	0.0023368	0.01	0.01	0.00061174	0.040437	0.00030709	0.00016017	
0.00059342	0.00020524	0.0023148	0.01	0.01	0.00060972	0.040465	0.00029949	0.00015819	
0.00058846	0.00020532	0.0022925	0.01	0.01	0.00060767	0.040493	0.00029181	0.0001562	
0.00058364	0.00020543	0.0022699	0.01	0.01	0.00060568	0.040521	0.00028406	0.0001542	
0.00057893	0.00020555	0.002248	0.01	0.01	0.00060376	0.040549	0.00027644	0.00015222	
0.00057417	0.00020564	0.0022266	0.01	0.01	0.00060188	0.040577	0.00026893	0.00015025	
0.00056952	0.00020576	0.0022049	0.01	0.01	0.00059998	0.040606	0.00026135	0.00014826	
0.00056498	0.00020589	0.0021838	0.01	0.01	0.00059814	0.040635	0.00025389	0.0001463	
0.00056056	0.00020604	0.0021633	0.01	0.01	0.00059635	0.040664	0.00024655	0.00014434	
0.00055609	0.00020617	0.0021425	0.01	0.01	0.00059453	0.040693	0.00023914	0.00014238	
0.00055172	0.00020631	0.0021223	0.01	0.01	0.00059276	0.040722	0.00023185	0.00014043	
0.00054747	0.00020648	0.0021026	0.01	0.01	0.00059105	0.040752	0.00022467	0.00013849	
0.00054316	0.00020662	0.0020827	0.01	0.01	0.00058932	0.040782	0.00021743	0.00013655	
0.00053895	0.00020678	0.0020632	0.01	0.01	0.00058762	0.040812	0.00021028	0.00013461	
0.00053469	0.00020692	0.0020435	0.01	0.01	0.00058591	0.040842	0.00020306	0.00013267	
0.00053054	0.00020708	0.0020243	0.01	0.01	0.00058424	0.040872	0.00019596	0.00013074	
0.00052634	0.00020722	0.0020049	0.01	0.01	0.00058255	0.040903	0.00018879	0.0001288	
0.00052223	0.00020738	0.001986	0.01	0.01	0.0005809	0.040933	0.00018171	0.00012687	
0.00051807	0.00020751	0.0019668	0.01	0.01	0.00057923	0.040964	0.00017457	0.00012493	
