Scyliorhinus_canicula	Latimeria_chalumnae	Hemiscyllium_ocellatum	Carcharodon_carcharias	Amblyraja_radiata	
0.00010249	1.1355e-06	9.3585e-05	1.2464e-05	0.96537	
0.00010083	1.0549e-06	9.2755e-05	1.1609e-05	0.96624	
9.9166e-05	9.1609e-07	9.1924e-05	1.0753e-05	0.96712	
9.7502e-05	8.5013e-07	9.1093e-05	9.8968e-06	0.968	
9.5835e-05	7.5347e-07	9.0261e-05	9.0395e-06	0.96889	
9.4167e-05	6.1306e-07	8.9428e-05	8.1813e-06	0.96978	
9.2498e-05	5.4464e-07	8.8594e-05	7.3223e-06	0.97067	
9.0826e-05	4.4387e-07	8.7759e-05	6.4624e-06	0.97156	
8.9153e-05	2.9783e-07	8.6923e-05	5.6017e-06	0.97246	
8.7479e-05	2.1775e-07	8.6087e-05	4.7401e-06	0.97336	
8.5803e-05	1.7064e-07	8.5249e-05	3.8777e-06	0.97427	
8.4125e-05	1.0203e-07	8.4411e-05	3.0143e-06	0.97518	
8.2445e-05	6.9417e-08	8.3572e-05	2.1501e-06	0.97609	
8.1239e-05	4.9839e-08	8.2956e-05	1.4469e-06	0.97819	
8.0388e-05	3.7911e-08	8.2516e-05	8.688e-07	0.97894	
7.9321e-05	2.2502e-08	8.1998e-05	7.7454e-07	0.97948	
7.6546e-05	1.3223e-08	8.1686e-05	7.227e-07	0.98077	
7.344e-05	9.8602e-09	8.1313e-05	6.6342e-07	0.98173	
6.5946e-05	8.2539e-09	8.1141e-05	6.3432e-07	0.98389	
6.0499e-05	7.7605e-09	8.0262e-05	6.1567e-07	0.9848	
5.3851e-05	6.2537e-09	7.9238e-05	6.9124e-07	0.98545	
4.9133e-05	5.7193e-09	7.8485e-05	6.9814e-07	0.98692	
4.5625e-05	3.3754e-09	7.7937e-05	7.1379e-07	0.99013	
4.3315e-05	1.9721e-09	7.7613e-05	6.7528e-07	0.99143	
4.1587e-05	1.2539e-09	7.743e-05	6.4672e-07	0.99196	
3.9649e-05	1.128e-09	7.7192e-05	6.1206e-07	0.99233	
3.8208e-05	1.1843e-09	7.7106e-05	5.8671e-07	0.99318	
3.6309e-05	1.376e-09	7.722e-05	5.461e-07	0.99504	
3.4932e-05	1.7833e-09	7.7479e-05	5.1717e-07	0.99577	
3.3354e-05	1.6996e-09	7.7675e-05	4.8144e-07	0.99633	
3.1586e-05	2.3249e-09	7.7817e-05	4.3967e-07	0.99674	
3.032e-05	2.1599e-09	7.8241e-05	4.0869e-07	0.99694	
2.9385e-05	2.2631e-09	7.8836e-05	3.8516e-07	0.99694	
2.704e-05	2.641e-09	7.9679e-05	3.7941e-07	0.9971	
2.5691e-05	2.0947e-09	8.1077e-05	3.3101e-07	0.99711	
2.4687e-05	1.8124e-09	8.2863e-05	2.9179e-07	0.99728	
2.395e-05	1.9211e-09	8.5151e-05	2.6025e-07	0.99729	
2.3448e-05	2.4674e-09	8.615e-05	2.3679e-07	0.99717	
2.287e-05	2.2465e-09	8.7034e-05	2.086e-07	0.99734	
2.2513e-05	1.4367e-09	8.7608e-05	1.8891e-07	0.99745	
2.2092e-05	1.2898e-09	8.8107e-05	1.6491e-07	0.9975	
2.1816e-05	1.2648e-09	8.8795e-05	1.4554e-07	0.99771	
2.1482e-05	1.7842e-09	8.9401e-05	1.2205e-07	0.99785	
2.1277e-05	2.6198e-09	9.022e-05	1.027e-07	0.99784	
2.1192e-05	2.3923e-09	9.132e-05	8.6973e-08	0.99798	
2.1236e-05	1.3939e-09	9.1844e-05	7.5295e-08	0.99804	
2.1232e-05	1.1176e-09	9.2291e-05	6.0159e-08	0.99806	
2.0965e-05	1.2855e-09	9.251e-05	5.7412e-08	0.99803	
2.0115e-05	1.6573e-09	9.2959e-05	5.971e-08	0.99812	
1.9493e-05	1.1652e-09	9.36e-05	6.3193e-08	0.9981	
1.905e-05	8.1986e-10	9.4461e-05	6.798e-08	0.99819	
1.8522e-05	8.3833e-10	9.5162e-05	6.9456e-08	0.99823	
1.8175e-05	1.0368e-09	9.5301e-05	7.2994e-08	0.99817	
1.7952e-05	1.3322e-09	9.5584e-05	7.8056e-08	0.99822	
1.7675e-05	2.3073e-09	9.579e-05	7.9972e-08	0.99823	
1.7546e-05	3.8454e-09	9.5387e-05	8.5409e-08	0.99835	
1.7515e-05	6.3173e-09	9.5141e-05	9.2746e-08	0.99835	
1.7443e-05	7.951e-09	9.4834e-05	9.6913e-08	0.99831	
1.7466e-05	1.1441e-08	9.4679e-05	1.0312e-07	0.99813	
1.7447e-05	1.3472e-08	9.4464e-05	1.0611e-07	0.9979	
1.8001e-05	8.5132e-09	8.8082e-05	1.1062e-07	0.99774	
1.8067e-05	8.3211e-09	8.7167e-05	1.0441e-07	0.99761	
1.813e-05	1.0019e-08	8.6252e-05	9.648e-08	0.99741	
2.1594e-05	3.126e-08	7.4278e-05	7.3061e-09	0.99736	
2.1763e-05	2.924e-08	7.38e-05	1.1277e-08	0.99729	
2.1846e-05	2.595e-08	7.324e-05	3.6726e-08	0.99717	
2.1654e-05	2.5121e-08	7.2944e-05	4.6476e-08	0.99721	
2.146e-05	2.141e-08	7.2798e-05	5.4508e-08	0.99747	
2.1262e-05	2.0963e-08	7.2506e-05	6.0821e-08	0.99762	
2.1061e-05	1.9183e-08	7.2143e-05	6.5415e-08	0.99772	
2.0992e-05	1.8748e-08	7.1923e-05	5.0991e-08	0.998	
2.1061e-05	1.7179e-08	7.1496e-05	4.0058e-08	0.99819	
2.0995e-05	1.3816e-08	7.1676e-05	2.1141e-08	0.99829	
2.0856e-05	9.0849e-09	7.1798e-05	2.178e-08	0.99836	
2.0867e-05	6.7506e-09	7.2097e-05	1.019e-08	0.99831	
2.0802e-05	6.333e-09	7.2321e-05	1.0677e-08	0.99823	
2.0688e-05	7.4449e-09	7.2489e-05	8.9272e-09	0.99809	
2.0418e-05	7.6491e-09	7.2512e-05	1.3587e-08	0.99788	
2.0095e-05	9.5767e-09	7.2467e-05	1.5718e-08	0.99755	
1.9922e-05	9.9849e-09	7.2586e-05	1.8245e-08	0.99689	
1.9908e-05	8.5472e-09	7.2882e-05	1.0415e-08	0.99663	
1.9673e-05	8.7353e-09	7.2942e-05	8.4402e-09	0.99616	
1.9331e-05	8.1448e-09	7.2937e-05	1.5081e-08	0.99554	
1.9146e-05	8.3478e-09	7.3065e-05	1.1926e-08	0.99528	
1.9091e-05	7.2104e-09	7.3372e-05	8.9948e-09	0.9947	
1.9145e-05	3.8251e-09	7.3841e-05	5.8359e-09	0.99448	
1.9126e-05	2.5898e-09	7.4224e-05	9.6278e-09	0.99414	
1.9055e-05	2.1142e-09	7.4482e-05	1.0753e-08	0.99416	
1.9108e-05	2.1282e-09	7.4329e-05	1.1759e-08	0.994	
1.9117e-05	2.6387e-09	7.411e-05	1.0528e-08	0.99415	
1.8768e-05	2.3781e-09	7.4166e-05	1.0549e-08	0.99415	
1.8316e-05	2.5558e-09	7.4512e-05	7.8291e-09	0.99393	
1.7569e-05	2.1253e-09	7.4681e-05	1.0103e-08	0.99358	
1.7082e-05	2.3224e-09	7.4551e-05	1.2463e-08	0.99295	
1.6516e-05	1.9204e-09	7.4339e-05	1.2503e-08	0.99299	
1.6112e-05	1.7442e-09	7.4252e-05	1.2112e-08	0.99326	
1.5485e-05	1.9101e-09	7.3994e-05	2.0336e-08	0.99413	
1.4768e-05	1.5698e-09	7.3677e-05	2.5938e-08	0.99479	
1.4251e-05	1.4595e-09	7.3501e-05	3.2121e-08	0.99501	
1.3904e-05	1.7209e-09	7.2771e-05	3.9567e-08	0.99504	
1.3678e-05	2.2523e-09	7.224e-05	4.8222e-08	0.99485	
1.3554e-05	3.1978e-09	7.1875e-05	5.8458e-08	0.99426	
1.3516e-05	4.7476e-09	7.1647e-05	7.0528e-08	0.99268	
1.3439e-05	5.5754e-09	7.1363e-05	7.933e-08	0.99059	
1.2913e-05	7.185e-09	7.1216e-05	9.1048e-08	0.98961	
1.0426e-05	7.3746e-09	6.5904e-05	1.6635e-07	0.97285	
1.0206e-05	6.978e-09	6.5856e-05	1.7607e-07	0.96927	
9.9423e-06	5.8364e-09	6.5758e-05	1.8195e-07	0.96455	
9.6294e-06	6.1802e-09	6.5607e-05	1.8399e-07	0.95802	
9.4212e-06	7.2949e-09	6.5578e-05	1.8961e-07	0.94145	
9.1697e-06	7.6205e-09	6.5499e-05	1.9137e-07	0.92153	
8.8681e-06	9.8832e-09	6.5355e-05	1.8903e-07	0.89304	
8.667e-06	1.0096e-08	6.5333e-05	1.9027e-07	0.87963	
8.4241e-06	9.2847e-09	6.526e-05	1.8767e-07	0.86168	
8.2701e-06	9.4068e-09	6.5306e-05	1.8864e-07	0.8161	
8.2012e-06	7.9165e-09	6.4898e-05	1.9423e-07	0.79949	
8.1014e-06	8.1965e-09	6.4427e-05	1.961e-07	0.77705	
8.0733e-06	9.4728e-09	6.2895e-05	2.0196e-07	0.72252	
7.9819e-06	1.0475e-08	6.205e-05	2.0018e-07	0.6679	
7.9539e-06	1.1202e-08	6.1408e-05	2.0177e-07	0.61319	
7.9014e-06	1.1654e-08	6.0704e-05	1.9996e-07	0.55839	
7.9017e-06	1.2846e-08	6.0151e-05	2.0089e-07	0.52779	
7.8805e-06	1.3373e-08	5.955e-05	1.986e-07	0.49097	
7.9102e-06	1.4681e-08	5.9081e-05	1.9893e-07	0.47001	
7.9184e-06	1.5303e-08	5.8569e-05	1.9607e-07	0.4449	
7.9796e-06	1.6812e-08	5.6351e-05	1.9593e-07	0.43079	
7.9902e-06	1.9977e-08	5.4853e-05	1.8919e-07	0.42358	
7.9785e-06	2.2248e-08	5.3262e-05	1.7915e-07	0.41504	
8.0173e-06	2.2622e-08	5.1953e-05	1.7172e-07	0.39854	
8.0338e-06	2.6296e-08	5.0559e-05	1.6103e-07	0.37788	
8.1034e-06	2.61e-08	4.9407e-05	1.5292e-07	0.36631	
8.2297e-06	2.716e-08	4.8459e-05	1.4711e-07	0.32465	
8.4161e-06	2.9514e-08	4.7671e-05	1.4323e-07	0.29868	
8.6776e-06	2.9605e-08	4.7039e-05	1.414e-07	0.24753	
8.9099e-06	2.888e-08	4.6367e-05	1.3668e-07	0.18905	
9.2224e-06	2.9356e-08	4.5817e-05	1.3374e-07	0.1527	
9.5013e-06	2.8982e-08	4.5229e-05	1.2788e-07	0.11078	
9.7463e-06	2.7698e-08	4.4594e-05	1.1898e-07	0.060862	
9.6934e-06	2.8139e-08	4.263e-05	1.1526e-07	0.037066	
9.6057e-06	2.6723e-08	4.0424e-05	1.0808e-07	0.032102	
9.4846e-06	2.4086e-08	3.8006e-05	9.7558e-08	0.026168	
8.9437e-06	2.3253e-08	3.6189e-05	9.0699e-08	0.01132	
8.563e-06	1.949e-08	3.1365e-05	8.6336e-08	0.0050074	
8.0622e-06	1.3963e-08	2.5579e-05	1.148e-07	0.0039674	
7.4682e-06	1.2066e-08	2.4127e-05	1.3762e-07	0.0023593	
7.0353e-06	7.0777e-09	2.2997e-05	1.6564e-07	0.0016043	
6.7204e-06	4.3326e-09	2.2109e-05	1.9965e-07	0.0012355	
6.3586e-06	3.5062e-09	2.113e-05	2.2879e-07	0.00073178	
5.9337e-06	1.9146e-09	2.0021e-05	2.5342e-07	0.00067214	
5.4519e-06	1.4171e-09	1.8802e-05	2.7348e-07	0.00057365	
5.4793e-06	1.5257e-09	1.743e-05	2.8686e-07	0.00042641	
5.5594e-06	1.7876e-09	1.6343e-05	3.0536e-07	0.00035858	
5.6127e-06	1.5606e-09	1.5145e-05	3.1925e-07	0.00025727	
5.7217e-06	1.4858e-09	1.4195e-05	3.3861e-07	0.00021091	
5.8101e-06	2.0141e-09	1.3133e-05	3.5269e-07	0.00013444	
5.963e-06	2.8638e-09	1.2302e-05	3.7295e-07	9.956e-05	
6.1936e-06	2.5359e-09	1.1655e-05	4.0027e-07	8.8903e-05	
6.3988e-06	3.0789e-09	1.0938e-05	4.2211e-07	6.2674e-05	
6.6906e-06	4.0213e-09	1.0372e-05	4.5114e-07	5.2306e-05	
6.9416e-06	6.068e-09	9.7338e-06	4.748e-07	6.3101e-05	
7.292e-06	9.7791e-09	9.2308e-06	5.0625e-07	9.0454e-05	
7.597e-06	1.2041e-08	8.6767e-06	5.322e-07	0.00010274	
8.0229e-06	1.2073e-08	8.2459e-06	5.6709e-07	0.00013973	
1.0425e-05	1.113e-08	7.7212e-06	5.8949e-07	0.00038648	
1.26e-05	9.3815e-09	7.1466e-06	6.0669e-07	0.00057641	
1.3865e-05	8.9838e-09	6.8755e-06	5.9719e-07	0.00064673	
1.5472e-05	9.186e-09	6.6604e-06	5.9373e-07	0.00078194	
1.695e-05	8.7619e-09	6.4246e-06	5.8587e-07	0.00088714	
1.8316e-05	7.7068e-09	6.1672e-06	5.7364e-07	0.00096633	
1.9573e-05	7.5925e-09	5.8728e-06	5.5681e-07	0.0011889	
2.0739e-05	6.8997e-09	5.5535e-06	5.3556e-07	0.0013719	
