Manis_tricuspis	Manis_pentadactyla	Manis_javanica	
0.0013502	0.00031927	0.15415	
0.0013498	0.00031747	0.15371	
0.0013495	0.00031571	0.1533	
0.0013492	0.00031392	0.15287	
0.001349	0.00031217	0.15248	
0.0013458	0.00031049	0.15213	
0.0013429	0.00030885	0.1518	
0.0013398	0.00030719	0.15146	
0.0013367	0.0003055	0.1511	
0.0013334	0.00030378	0.15072	
0.00133	0.00030204	0.15033	
0.0013266	0.00030027	0.14991	
0.001323	0.00029847	0.14948	
0.0013193	0.00029665	0.14903	
0.0013159	0.00029487	0.14862	
0.0013123	0.00029307	0.14819	
0.0013089	0.00029132	0.14779	
0.0013054	0.00028953	0.14737	
0.0013018	0.00028772	0.14693	
0.0012981	0.00028588	0.14648	
0.0012946	0.00028408	0.14605	
0.0012913	0.00028233	0.14566	
0.0012882	0.00028064	0.14531	
0.0012851	0.00027891	0.14493	
0.0012816	0.00027716	0.14454	
0.0012783	0.00027545	0.14418	
0.0012753	0.00027379	0.14385	
0.0012724	0.00027217	0.14355	
0.0012694	0.00027052	0.14323	
0.0012663	0.00026884	0.14289	
0.0012634	0.00026722	0.14259	
0.0012608	0.00026564	0.14232	
0.0012583	0.00026415	0.14089	
0.0012561	0.0002627	0.13953	
0.001254	0.00026129	0.13824	
0.0012518	0.00025985	0.13691	
0.0012496	0.00025839	0.13554	
0.0012475	0.00025698	0.13425	
0.0012456	0.0002556	0.13303	
0.0012436	0.00025421	0.13177	
0.0012418	0.00025285	0.13057	
0.0012401	0.00025153	0.12943	
0.0012386	0.00025026	0.12836	
0.0012371	0.00024896	0.12725	
0.0012322	0.00024771	0.12621	
0.0012276	0.00024651	0.12523	
0.0012233	0.00024534	0.12431	
0.0012193	0.00024422	0.12344	
0.0012155	0.00024314	0.12262	
0.001212	0.00024209	0.12185	
0.0012083	0.00024102	0.12106	
0.0012045	0.00023993	0.12024	
0.001201	0.00023888	0.11947	
0.0011927	0.00023787	0.11874	
0.0011883	0.00023682	0.11799	
0.0011839	0.00023575	0.11721	
0.0011797	0.00023471	0.11647	
0.0011754	0.00023365	0.11571	
0.0011656	0.00023263	0.115	
0.0011451	0.00023166	0.11433	
0.0011257	0.00023073	0.11372	
0.0011056	0.00022977	0.11307	
0.0010841	0.00022879	0.11241	
0.0010636	0.00022784	0.11178	
0.0010424	0.00022687	0.11113	
0.0010207	0.00022588	0.11045	
0.0009983	0.00022485	0.10975	
0.00098603	0.00022381	0.10902	
0.00097346	0.00022274	0.10827	
0.00096057	0.00022165	0.1075	
0.00094857	0.0002206	0.10677	
0.00093628	0.00021953	0.10602	
0.00092457	0.00021849	0.10532	
0.00091257	0.00021743	0.10459	
0.00090028	0.00021635	0.10384	
0.00088856	0.00021531	0.10313	
0.00087747	0.0002143	0.10246	
0.00086605	0.00021327	0.10177	
0.00085517	0.00021227	0.10112	
0.0008448	0.0002113	0.1005	
0.00083418	0.00021031	0.09987	
0.00082405	0.00020936	0.099271	
0.00081863	0.00020836	0.098642	
0.00081307	0.00020735	0.097993	
0.00080737	0.00020631	0.097323	
0.00080451	0.00020524	0.096625	
0.00080157	0.00020414	0.095907	
0.00079882	0.00020309	0.095231	
0.00079597	0.00020201	0.094532	
