Zalophus_californianus	Vulpes_vulpes	Vulpes_lagopus	Ursus_thibetanus	Ursus_maritimus	Ursus_arctos	Ursus_americanus	Suricata_suricatta	Puma_yagouaroundi	Puma_concolor	Phoca_vitulina	Panthera_tigris	Panthera_pardus	Panthera_leo	Odobenus_rosmarus	Neomonachus_schauinslandi	Mustela_putorius	Mustela_erminea	Mirounga_leonina	Lynx_pardinus	Lontra_canadensis	Leptonychotes_weddellii	Hyaena_hyaena	Halichoerus_grypus	Felis_catus	Eumetopias_jubatus	Enhydra_lutris	Canis_lupus	Callorhinus_ursinus	Ailuropoda_melanoleuca	Acinonyx_jubatus	
0.0063413	0.030191	0.0013779	0.0027908	0.00077496	0.034452	0.0018113	0.00017327	0.0052402	0.0052402	0.0018319	0.014197	0.85264	0.0055568	0.00067382	0.0011278	0.0015781	0.0041223	0.00096681	0.00034921	0.00015018	0.0084175	7.6187e-05	0.010568	0.0063928	0.0033645	0.0051646	0.00031423	0.00025123	0.006273	0.013282	
0.006342	0.030208	0.0013747	0.0027888	0.00077281	0.034476	0.0018091	0.00016997	0.0052378	0.0052378	0.0018272	0.014203	0.85311	0.0055544	0.00067	0.0011226	0.0015756	0.004114	0.00096274	0.00034327	0.00014879	0.0084168	7.4661e-05	0.010569	0.0063926	0.0033612	0.0051654	0.00031245	0.00024656	0.0062732	0.013284	
0.0063427	0.030224	0.0013714	0.0027868	0.00077067	0.0345	0.001807	0.00016697	0.0052355	0.0052355	0.0018225	0.014209	0.8536	0.005552	0.00066624	0.0011175	0.0015733	0.0041057	0.0009587	0.00033738	0.00014743	0.0084162	7.323e-05	0.01057	0.0063925	0.003358	0.0051662	0.00031075	0.00024194	0.0062736	0.013285	
0.0063434	0.030241	0.0013682	0.0027848	0.00076853	0.034524	0.0018048	0.00016384	0.0052331	0.0052331	0.0018178	0.014215	0.85408	0.0055495	0.00066245	0.0011123	0.0015709	0.0040975	0.00095464	0.00033146	0.00014605	0.0084155	7.1758e-05	0.010571	0.0063923	0.0033548	0.005167	0.00030901	0.00023729	0.0062739	0.013287	
0.0063441	0.030258	0.001365	0.0027829	0.00076639	0.034549	0.0018026	0.00016099	0.0052307	0.0052307	0.0018131	0.014221	0.85456	0.0055471	0.00065871	0.0011072	0.0015685	0.0040893	0.00095062	0.00032558	0.0001447	0.0084151	7.0378e-05	0.010571	0.0063923	0.0033516	0.0051679	0.00030734	0.00023269	0.0062744	0.013289	
0.0063449	0.030274	0.0013617	0.0027809	0.00076425	0.034573	0.0018004	0.00015803	0.0052283	0.0052283	0.0018084	0.014227	0.85505	0.0055447	0.00065495	0.0011021	0.0015663	0.0040812	0.00094658	0.00031967	0.00014334	0.0084145	6.8961e-05	0.010572	0.0063921	0.0033484	0.0051688	0.00030564	0.00022806	0.0062747	0.013291	
0.0063456	0.030291	0.0013585	0.0027789	0.00076211	0.034597	0.0017983	0.00015535	0.0052259	0.0052259	0.0018037	0.014234	0.85554	0.0055423	0.00065124	0.001097	0.0015641	0.0040733	0.00094258	0.00031381	0.000142	0.0084142	6.7636e-05	0.010573	0.0063921	0.0033452	0.0051697	0.00030401	0.00022348	0.0062753	0.013293	
0.0063464	0.030308	0.0013552	0.0027769	0.00075997	0.034621	0.0017961	0.00015254	0.0052235	0.0052235	0.001799	0.01424	0.85604	0.0055399	0.0006475	0.0010918	0.0015619	0.0040653	0.00093855	0.00030792	0.00014065	0.0084138	6.6268e-05	0.010574	0.0063921	0.0033419	0.0051707	0.00030234	0.00021887	0.0062758	0.013295	
0.0063471	0.030325	0.001352	0.002775	0.00075782	0.034646	0.0017939	0.00014962	0.0052212	0.0052212	0.0017943	0.014246	0.85653	0.0055375	0.00064373	0.0010867	0.0015596	0.0040573	0.0009345	0.00030201	0.00013929	0.0084133	6.486e-05	0.010575	0.006392	0.0033387	0.0051716	0.00030065	0.00021424	0.0062762	0.013297	
0.0063478	0.030341	0.0013487	0.002773	0.00075567	0.03467	0.0017917	0.00014656	0.0052188	0.0052188	0.0017896	0.014252	0.85702	0.0055351	0.00063993	0.0010815	0.0015573	0.0040492	0.00093043	0.00029606	0.00013791	0.0084126	6.3408e-05	0.010576	0.0063918	0.0033355	0.0051724	0.00029892	0.00020957	0.0062765	0.013299	
0.0063486	0.030358	0.0013454	0.002771	0.0007535	0.034694	0.0017895	0.00014326	0.0052163	0.0052163	0.0017848	0.014258	0.85751	0.0055326	0.0006361	0.0010763	0.0015551	0.0040412	0.00092633	0.00029009	0.00013657	0.0084119	6.3729e-05	0.010577	0.0063916	0.0033322	0.0051734	0.00029715	0.00020488	0.0062768	0.013301	
0.0063493	0.030375	0.0013422	0.002769	0.00075133	0.034718	0.0017873	0.0001398	0.0052139	0.0052139	0.0017801	0.014265	0.85801	0.0055302	0.00063223	0.0010711	0.0015529	0.0040331	0.0009222	0.00028409	0.00013521	0.0084111	6.4026e-05	0.010578	0.0063914	0.003329	0.0051743	0.00029534	0.00020015	0.006277	0.013303	
0.0063499	0.030391	0.0013389	0.0027669	0.00074915	0.034743	0.0017851	0.00013621	0.0052115	0.0052115	0.0017753	0.014271	0.8585	0.0055277	0.00062834	0.0010658	0.0015506	0.0040251	0.00091805	0.00027806	0.00013384	0.0084102	6.4303e-05	0.010579	0.0063912	0.0033257	0.0051752	0.0002935	0.0001954	0.0062771	0.013304	
0.0063506	0.030408	0.0013356	0.0027649	0.00074697	0.034767	0.0017829	0.00013248	0.005209	0.005209	0.0017706	0.014277	0.85899	0.0055252	0.00062442	0.0010605	0.0015484	0.0040169	0.00091388	0.00027201	0.00013245	0.0084093	6.4561e-05	0.010579	0.0063909	0.0033224	0.005176	0.00029163	0.00019063	0.0062771	0.013306	
0.0063513	0.030425	0.0013323	0.0027629	0.00074479	0.034791	0.0017806	0.00012912	0.0052066	0.0052066	0.0017658	0.014283	0.85949	0.0055228	0.00062057	0.0010553	0.0015461	0.0040089	0.00090976	0.00026601	0.0001311	0.0084085	6.4865e-05	0.01058	0.0063907	0.0033192	0.0051769	0.00028984	0.0001859	0.0062774	0.013308	
0.006352	0.030441	0.001329	0.0027609	0.00074261	0.034816	0.0017784	0.00012561	0.0052042	0.0052042	0.001761	0.014289	0.85999	0.0055203	0.00061668	0.00105	0.0015439	0.0040008	0.00090561	0.00025998	0.00012973	0.0084077	6.5147e-05	0.010581	0.0063904	0.0033159	0.0051779	0.00028802	0.00018115	0.0062775	0.01331	
0.0063528	0.030458	0.0013257	0.0027589	0.00074044	0.03484	0.0017762	0.00012249	0.0052018	0.0052018	0.0017563	0.014296	0.8605	0.0055179	0.00061285	0.0010448	0.0015417	0.0039928	0.0009015	0.000254	0.0001284	0.0084071	6.4328e-05	0.010582	0.0063903	0.0033126	0.0051789	0.00028628	0.00017646	0.0062778	0.013312	
0.0063535	0.030475	0.0013224	0.0027569	0.00073826	0.034865	0.001774	0.00011924	0.0051993	0.0051993	0.0017515	0.014302	0.861	0.0055154	0.000609	0.0010396	0.0015395	0.0039848	0.00089738	0.00024799	0.00012705	0.0084064	6.3478e-05	0.010583	0.0063901	0.0033094	0.0051799	0.00028451	0.00017173	0.0062781	0.013314	
0.0063542	0.030492	0.0013191	0.0027548	0.00073607	0.034889	0.0017718	0.00011576	0.0051969	0.0051969	0.0017467	0.014308	0.86151	0.0055129	0.00060512	0.0010343	0.0015373	0.0039767	0.00089323	0.00024195	0.00012569	0.0084056	6.4261e-05	0.010584	0.0063899	0.0033061	0.0051808	0.0002827	0.00016698	0.0062783	0.013316	
0.0063549	0.030508	0.0013158	0.0027528	0.0007339	0.034914	0.0017696	0.00011153	0.0051945	0.0051945	0.0017419	0.014314	0.86202	0.0055105	0.00060129	0.0010291	0.0015351	0.0039687	0.00088912	0.00023595	0.00012435	0.008405	6.4876e-05	0.010585	0.0063898	0.0033028	0.0051818	0.00028096	0.00016228	0.0062786	0.013318	
0.0063557	0.030525	0.0013125	0.0027508	0.00073173	0.034938	0.0017674	0.00010767	0.0051921	0.0051921	0.0017372	0.014321	0.86254	0.0055081	0.00059751	0.0010239	0.001533	0.0039609	0.00088505	0.00023	0.00012304	0.0084046	6.5541e-05	0.010586	0.0063898	0.0032996	0.005183	0.00027928	0.00015761	0.0062791	0.013319	
0.0063565	0.030543	0.0013093	0.0027488	0.00072957	0.034963	0.0017652	0.00010412	0.0051897	0.0051897	0.0017324	0.014327	0.86306	0.0055057	0.00059378	0.0010188	0.001531	0.0039531	0.00088102	0.00022408	0.00012175	0.0084044	6.6259e-05	0.010587	0.0063898	0.0032963	0.0051842	0.00027767	0.000153	0.0062798	0.013321	
0.0063573	0.03056	0.001306	0.0027468	0.0007274	0.034988	0.001763	0.00010044	0.0051873	0.0051873	0.0017276	0.014333	0.86358	0.0055032	0.00059002	0.0010136	0.0015289	0.0039453	0.00087696	0.00021813	0.00012046	0.0084041	6.6953e-05	0.010588	0.0063898	0.003293	0.0051854	0.00027603	0.00014835	0.0062804	0.013323	
0.006358	0.030577	0.0013027	0.0027448	0.00072523	0.035012	0.0017608	9.6647e-05	0.0051848	0.0051848	0.0017229	0.01434	0.86411	0.0055008	0.00058625	0.0010084	0.0015268	0.0039374	0.00087289	0.00021217	0.00011915	0.0084038	6.7626e-05	0.010589	0.0063898	0.0032898	0.0051866	0.00027437	0.00014369	0.0062809	0.013325	
0.0063588	0.030594	0.0012994	0.0027428	0.00072305	0.035037	0.0017586	9.273e-05	0.0051824	0.0051824	0.0017181	0.014346	0.86463	0.0054984	0.00058245	0.0010032	0.0015247	0.0039295	0.0008688	0.00020618	0.00011783	0.0084033	6.8278e-05	0.01059	0.0063897	0.0032865	0.0051877	0.00027268	0.00013901	0.0062814	0.013327	
0.0063596	0.030611	0.0012961	0.0027408	0.00072088	0.035062	0.0017564	8.9135e-05	0.00518	0.00518	0.0017133	0.014352	0.86516	0.0054959	0.00057869	0.00099808	0.0015226	0.0039217	0.00086475	0.00020023	0.00011654	0.0084031	6.8983e-05	0.010591	0.0063897	0.0032832	0.0051889	0.00027105	0.00013436	0.006282	0.013329	
0.0063604	0.030628	0.0012928	0.0027388	0.00071872	0.035087	0.0017542	8.5841e-05	0.0051776	0.0051776	0.0017085	0.014359	0.86569	0.0054935	0.00057499	0.00099297	0.0015207	0.003914	0.00086073	0.00019432	0.00011527	0.0084031	6.9742e-05	0.010592	0.0063898	0.0032799	0.0051903	0.00026949	0.00012976	0.0062828	0.013331	
0.0063612	0.030646	0.0012895	0.0027369	0.00071657	0.035111	0.001752	8.2828e-05	0.0051752	0.0051752	0.0017037	0.014365	0.86623	0.0054911	0.00057126	0.00098783	0.0015187	0.0039064	0.00085669	0.00018845	0.00011402	0.008403	7.056e-05	0.010593	0.00639	0.0032767	0.0051917	0.00026799	0.00012514	0.0062838	0.013333	
0.006362	0.030663	0.0012862	0.0027349	0.00071441	0.035136	0.0017499	7.9689e-05	0.0051728	0.0051728	0.0016989	0.014371	0.86677	0.0054887	0.00056751	0.00098267	0.0015168	0.0038987	0.00085263	0.00018255	0.00011277	0.0084027	7.135e-05	0.010594	0.0063902	0.0032734	0.0051931	0.00026645	0.00012048	0.0062847	0.013336	
0.0063628	0.030681	0.0012829	0.0027329	0.00071224	0.035161	0.0017477	7.643e-05	0.0051704	0.0051704	0.0016941	0.014378	0.86732	0.0054863	0.00056372	0.00097748	0.0015148	0.003891	0.00084854	0.00017663	0.0001115	0.0084025	7.2114e-05	0.010595	0.0063903	0.0032701	0.0051944	0.00026489	0.00011581	0.0062855	0.013338	
0.0063637	0.030698	0.0012796	0.0027309	0.00071008	0.035186	0.0017455	7.3503e-05	0.0051681	0.0051681	0.0016893	0.014384	0.86786	0.005484	0.00056	0.00097234	0.0015129	0.0038834	0.0008445	0.00017076	0.00011026	0.0084024	7.295e-05	0.010596	0.0063905	0.0032668	0.0051959	0.00026341	0.00011118	0.0062865	0.01334	
0.0063645	0.030716	0.0012763	0.0027289	0.00070792	0.035211	0.0017433	7.0882e-05	0.0051657	0.0051657	0.0016845	0.014391	0.86842	0.0054816	0.00055624	0.00096717	0.001511	0.0038758	0.00084044	0.00016493	0.00010901	0.0084022	7.3863e-05	0.010597	0.0063908	0.0032635	0.0051973	0.00026189	0.00010652	0.0062875	0.013342	
0.0063653	0.030733	0.0012731	0.0027269	0.00070577	0.035236	0.0017412	6.8511e-05	0.0051633	0.0051633	0.0016797	0.014397	0.86898	0.0054793	0.00055254	0.00096205	0.0015091	0.0038683	0.00083642	0.00015914	0.00010778	0.0084023	7.4851e-05	0.010598	0.0063913	0.0032603	0.0051989	0.00026044	0.00010192	0.0062886	0.013344	
0.0063662	0.030751	0.0012698	0.002725	0.00070363	0.035261	0.0017391	6.6397e-05	0.005161	0.005161	0.0016749	0.014404	0.86954	0.005477	0.0005489	0.0009569	0.0015074	0.0038609	0.00083237	0.00015341	0.00010659	0.0084022	7.5928e-05	0.010599	0.0063918	0.003257	0.0052005	0.00025907	9.7365e-05	0.0062899	0.013346	
0.0063671	0.030769	0.0012665	0.002723	0.0007015	0.035286	0.0017369	6.4492e-05	0.0051587	0.0051587	0.0016701	0.014411	0.87012	0.0054747	0.00054533	0.0009518	0.0015057	0.0038536	0.00082836	0.00014772	0.00010543	0.0084024	7.7092e-05	0.0106	0.0063924	0.0032537	0.0052023	0.00025777	9.2863e-05	0.0062914	0.013349	
0.006368	0.030787	0.0012632	0.0027211	0.00069936	0.035312	0.0017348	6.2478e-05	0.0051564	0.0051564	0.0016652	0.014417	0.87069	0.0054724	0.00054171	0.00094666	0.0015039	0.0038462	0.00082433	0.00014199	0.00010425	0.0084024	7.8209e-05	0.010602	0.006393	0.0032504	0.005204	0.00025642	8.8329e-05	0.0062928	0.013351	
0.0063689	0.030805	0.0012599	0.0027191	0.00069722	0.035337	0.0017327	6.0356e-05	0.005154	0.005154	0.0016604	0.014424	0.87126	0.0054701	0.00053807	0.0009415	0.0015022	0.0038388	0.00082027	0.00013624	0.00010305	0.0084023	7.9286e-05	0.010603	0.0063935	0.0032472	0.0052057	0.00025504	8.3763e-05	0.0062941	0.013353	
0.0063698	0.030823	0.0012567	0.0027171	0.00069508	0.035362	0.0017305	5.8527e-05	0.0051517	0.0051517	0.0016556	0.01443	0.87184	0.0054678	0.00053449	0.0009364	0.0015005	0.0038316	0.00081626	0.00013054	0.00010189	0.0084026	7.9222e-05	0.010604	0.0063941	0.0032439	0.0052075	0.00025375	7.926e-05	0.0062957	0.013355	
