Rousettus_aegyptiacus	Rhinolophus_ferrumequinum	Pteropus_giganteus	Pipistrellus_pipistrellus	Phyllostomus_discolor	Myotis_myotis	Myotis_lucifugus	Molossus_molossus	Miniopterus_natalensis	Megaderma_lyra	Hipposideros_armiger	Eptesicus_fuscus	Desmodus_rotundus	Artibeus_jamaicensis	Aeorestes_cinereus	
0.00018105	2.1086e-05	5.1577e-05	0.00018297	0.41119	0.011243	0.0047254	0.26683	0.023258	0.81137	2.8423e-05	0.00021322	8.9999e-06	0.00030516	0.89922	
0.00017926	2.0209e-05	4.9868e-05	0.0001819	0.41064	0.011248	0.0047062	0.26678	0.022911	0.81225	2.7172e-05	0.00021105	7.772e-06	0.00029747	0.90022	
0.0001776	1.9429e-05	4.8225e-05	0.00018096	0.41032	0.011253	0.004688	0.26692	0.022617	0.81336	2.6057e-05	0.00020898	6.6289e-06	0.00029031	0.90134	
0.00017587	1.8599e-05	4.6546e-05	0.00017996	0.40988	0.011258	0.0046693	0.26696	0.022296	0.81435	2.4872e-05	0.00020685	5.4404e-06	0.00028287	0.9024	
0.00017429	1.7872e-05	4.4939e-05	0.00017887	0.40924	0.011263	0.0046499	0.26721	0.022033	0.81561	2.3829e-05	0.00020467	4.9891e-06	0.00027467	0.90339	
0.00017263	1.7095e-05	4.3294e-05	0.00017771	0.40846	0.011267	0.0046299	0.26737	0.021754	0.81675	2.2718e-05	0.00020242	4.994e-06	0.00026612	0.91004	
0.00017111	1.6415e-05	4.1721e-05	0.00017645	0.40753	0.011272	0.0046091	0.26742	0.021445	0.81818	2.1741e-05	0.00020011	4.9893e-06	0.00025719	0.91628	
0.00016951	1.5684e-05	4.0107e-05	0.00017511	0.40643	0.011275	0.0045877	0.26736	0.021105	0.81945	2.0692e-05	0.00019774	4.9752e-06	0.00024787	0.92213	
0.00016784	1.47e-05	3.8455e-05	0.00017366	0.40519	0.011279	0.0045656	0.2672	0.020733	0.8253	2.0534e-05	0.0001953	4.9523e-06	0.0002382	0.92763	
0.0001661	1.3652e-05	3.6765e-05	0.00017212	0.40378	0.011282	0.0045427	0.26695	0.020327	0.8306	2.0351e-05	0.00019279	4.9205e-06	0.00022816	0.93279	
0.00016429	1.2792e-05	3.5034e-05	0.00017046	0.40219	0.011285	0.0045191	0.26656	0.020388	0.83438	2.0236e-05	0.00019022	4.8791e-06	0.00021768	0.93764	
0.00016266	1.1868e-05	3.341e-05	0.00016875	0.40038	0.011287	0.0044948	0.26605	0.020439	0.83776	2.0095e-05	0.00018757	4.828e-06	0.00020677	0.94219	
0.00016097	1.0884e-05	3.1749e-05	0.00016694	0.39838	0.011289	0.0044698	0.26542	0.020475	0.84082	1.9929e-05	0.00018486	4.7678e-06	0.00019544	0.94649	
0.00015941	1.0037e-05	3.016e-05	0.00016502	0.39617	0.011291	0.0044441	0.26644	0.020496	0.84482	1.9813e-05	0.00018209	4.6985e-06	0.00018369	0.95055	
0.00015778	9.1294e-06	2.8531e-05	0.00016298	0.3938	0.011293	0.0044176	0.26729	0.0205	0.8484	1.9672e-05	0.00017924	4.6199e-06	0.00017148	0.95436	
0.00015607	8.1554e-06	2.686e-05	0.00016081	0.39117	0.011294	0.0043903	0.26799	0.020487	0.8516	1.9503e-05	0.00017631	4.5311e-06	0.00015876	0.95794	
0.00015115	7.3144e-06	2.5576e-05	0.0001585	0.38825	0.011295	0.0043622	0.26854	0.020457	0.85577	1.9383e-05	0.00017331	4.4319e-06	0.00014552	0.96131	
0.00014604	6.4123e-06	2.4258e-05	0.00015605	0.38501	0.011295	0.0043333	0.26897	0.020411	0.8595	1.9237e-05	0.00017023	4.3223e-06	0.00013173	0.96446	
0.0001405	5.445e-06	2.4213e-05	0.00015346	0.38144	0.011296	0.0043037	0.26928	0.020349	0.86284	1.9065e-05	0.00016708	4.2021e-06	0.00011737	0.96744	
0.00013534	4.6139e-06	2.4183e-05	0.00015114	0.37752	0.011297	0.0042755	0.26873	0.020317	0.86391	1.827e-05	0.00016407	4.0689e-06	0.00010246	0.97081	
0.00013054	3.8821e-06	2.4168e-05	0.00014908	0.37427	0.011298	0.0042488	0.26842	0.020315	0.86525	1.7573e-05	0.0001612	3.9488e-06	8.8627e-05	0.97462	
0.00012557	3.1031e-06	2.4141e-05	0.0001469	0.37071	0.011299	0.0042214	0.26801	0.020298	0.86646	1.6828e-05	0.00015826	3.819e-06	7.4287e-05	0.97822	
0.00012041	2.9979e-06	2.4101e-05	0.00014459	0.36678	0.011301	0.004196	0.26746	0.020264	0.86754	1.5998e-05	0.00015525	3.6782e-06	5.936e-05	0.98159	
0.00011507	2.8813e-06	2.4049e-05	0.00014214	0.36227	0.011303	0.0041698	0.2668	0.020215	0.86849	1.5113e-05	0.00015216	3.5262e-06	5.6919e-05	0.98478	
0.00010955	2.7529e-06	2.3985e-05	0.00013957	0.3571	0.011305	0.004143	0.266	0.020667	0.86935	1.4169e-05	0.000149	3.3627e-06	5.7509e-05	0.9878	
0.00010441	2.643e-06	2.3936e-05	0.00013726	0.35278	0.011307	0.0041176	0.26547	0.020764	0.87044	1.3339e-05	0.00014599	3.2133e-06	5.8198e-05	0.98878	
9.9626e-05	2.5496e-06	2.3901e-05	0.00013521	0.34917	0.011286	0.0040941	0.26518	0.020896	0.87061	1.2609e-05	0.00014311	3.0769e-06	5.899e-05	0.98989	
9.5177e-05	2.4721e-06	2.3882e-05	0.00013302	0.3452	0.011266	0.0040723	0.26471	0.021848	0.87017	1.1973e-05	0.00014016	2.9298e-06	5.9702e-05	0.99094	
9.0554e-05	2.3839e-06	2.385e-05	0.0001307	0.34081	0.011246	0.0040499	0.2641	0.022721	0.86964	1.1287e-05	0.00013713	2.7717e-06	6.0335e-05	0.99191	
8.5772e-05	2.2856e-06	2.3806e-05	0.00012826	0.33603	0.011225	0.004069	0.26337	0.02353	0.86903	1.0555e-05	0.00013403	2.6034e-06	6.0898e-05	0.99284	
8.136e-05	2.2053e-06	2.3779e-05	0.00012566	0.33082	0.011203	0.0040874	0.26331	0.024131	0.86703	9.9276e-06	0.00013085	2.4237e-06	6.139e-05	0.99371	
7.6948e-05	2.123e-06	2.3749e-05	0.00011783	0.32849	0.011182	0.0041071	0.26249	0.025058	0.86502	9.2978e-06	0.00012799	2.3129e-06	6.0802e-05	0.994	
7.2537e-05	2.0389e-06	2.3716e-05	0.0001108	0.3266	0.011162	0.004128	0.25977	0.026159	0.86302	8.6658e-06	0.00012525	1.9224e-06	6.0325e-05	0.99434	
6.8126e-05	1.9528e-06	2.3679e-05	0.00010461	0.32443	0.011144	0.0041503	0.25624	0.027033	0.86102	8.0315e-06	0.00012268	1.8609e-06	5.9734e-05	0.99445	
6.3715e-05	1.8648e-06	2.364e-05	9.9046e-05	0.32267	0.011126	0.0041738	0.25359	0.028061	0.85902	7.395e-06	0.00012022	1.8061e-06	5.9241e-05	0.99457	
5.9304e-05	1.7749e-06	2.3597e-05	9.3162e-05	0.32127	0.011108	0.0041967	0.24792	0.030058	0.85702	6.7563e-06	0.0001177	1.7578e-06	5.8844e-05	0.99469	
5.4893e-05	1.683e-06	2.355e-05	8.6938e-05	0.3212	0.011089	0.0042191	0.24131	0.031888	0.85502	6.1153e-06	0.00011511	1.7822e-06	5.7359e-05	0.9948	
5.0818e-05	1.606e-06	2.352e-05	8.141e-05	0.32361	0.011071	0.004243	0.23645	0.034073	0.85346	5.5583e-06	0.00011265	1.7753e-06	5.5196e-05	0.99492	
4.7024e-05	1.5407e-06	2.3505e-05	7.6444e-05	0.32394	0.011054	0.0042682	0.22203	0.036634	0.85222	5.0674e-06	0.0001103	1.7737e-06	5.3216e-05	0.99507	
4.3518e-05	1.4874e-06	2.3507e-05	7.2033e-05	0.32453	0.011038	0.0042949	0.21142	0.037469	0.85126	4.6413e-06	0.00010807	1.7782e-06	5.1412e-05	0.99523	
4.0254e-05	1.4439e-06	2.3523e-05	6.807e-05	0.32539	0.011023	0.0043231	0.20337	0.038453	0.85052	4.2663e-06	0.00010594	1.788e-06	4.9754e-05	0.99543	
