Vicugna_pacos	Tursiops_truncatus	Sus_scrofa	Rangifer_tarandus	Platanista_minor	Platanista_gangetica	Physeter_catodon	Ovis_aries	Orcinus_orca	Neophocaena_asiaeorientalis	Muntiacus_muntjak	Monodon_monoceros	Lipotes_vexillifer	Hippopotamus_amphibius	Giraffa_camelopardalis	Cervus_elaphus	Catagonus_wagneri	Capra_hircus	Camelus_ferus	Camelus_bactrianus	Bubalus_bubalis	Bos_taurus	Bos_mutus	Bison_bison	Balaenoptera_acutorostrata	Axis_porcinus	
0.0009932	0.049519	5.7232e-05	0.00027029	0.01	0.0037167	0.0014192	0.1576	0.00041589	0.00045744	0.0057392	0.0016202	0.0052229	0.017669	4.4632e-05	0.00077982	0.00030949	0.0035994	0.01	0.01	0.00011481	0.00058277	0.70451	0.0030496	0.00035098	0.030218	
0.00099128	0.048717	5.5827e-05	0.00026254	0.01	0.0037138	0.0014169	0.15775	0.00041273	0.00045556	0.005725	0.0016127	0.0052212	0.017162	4.2894e-05	0.00077428	0.00030731	0.0035995	0.01	0.01	0.00010912	0.000578	0.7051	0.0030463	0.00034896	0.030228	
0.00098945	0.047935	5.4539e-05	0.00025506	0.01	0.0037109	0.0014149	0.15791	0.0004096	0.00045374	0.0057117	0.0016054	0.0052198	0.01673	4.1235e-05	0.00076881	0.0003053	0.0035996	0.01	0.01	0.00010355	0.00057329	0.7057	0.0030431	0.00034705	0.03024	
0.00098758	0.047139	5.3187e-05	0.00024742	0.01	0.0037081	0.0014128	0.15806	0.00040645	0.00045188	0.0056978	0.001598	0.0052182	0.016259	3.9531e-05	0.00076329	0.0003032	0.0035998	0.01	0.01	9.791e-05	0.00056854	0.70629	0.0030399	0.00034507	0.030251	
0.00098578	0.046364	4.8583e-05	0.00024006	0.01	0.0037052	0.0014109	0.15821	0.00040332	0.00045007	0.005685	0.0015908	0.005217	0.015862	3.7908e-05	0.00075784	0.00030133	0.0036	0.01	0.01	9.2403e-05	0.00056386	0.70689	0.0030367	0.00034322	0.030263	
0.00098395	0.045577	4.3866e-05	0.00023255	0.01	0.0037023	0.0014089	0.15837	0.00040018	0.00044824	0.0056717	0.0015835	0.0052156	0.01543	3.6244e-05	0.00075235	0.00029937	0.0036002	0.01	0.01	8.6822e-05	0.00055914	0.70749	0.0030335	0.0003413	0.030274	
0.0009822	0.044812	3.8832e-05	0.00022532	0.01	0.0036995	0.0014072	0.15853	0.00039706	0.00044646	0.0056594	0.0015764	0.0052145	0.015069	3.466e-05	0.00074693	0.00029725	0.0036004	0.01	0.01	8.138e-05	0.0005545	0.7081	0.0030303	0.00033951	0.030286	
0.0009804	0.044069	3.3546e-05	0.00021793	0.01	0.0036966	0.0013975	0.15868	0.00039397	0.00044474	0.0056464	0.0015696	0.0052139	0.014646	3.3029e-05	0.00074147	0.00029503	0.0036007	0.01	0.01	7.585e-05	0.00054981	0.70871	0.0030271	0.00033798	0.030298	
0.00097855	0.043315	3.2701e-05	0.00021038	0.01	0.0036938	0.0013875	0.15884	0.00039086	0.00044299	0.005633	0.0015626	0.005213	0.014185	3.1354e-05	0.00073595	0.00029257	0.0036008	0.01	0.01	7.0242e-05	0.00054507	0.70931	0.0030238	0.00033639	0.030309	
0.00097665	0.042548	3.1813e-05	0.00020268	0.01	0.0036909	0.0013773	0.15899	0.00038773	0.00044121	0.005619	0.0015555	0.005212	0.013682	2.9635e-05	0.0007304	0.00029001	0.003601	0.01	0.01	6.4556e-05	0.00054028	0.70991	0.0030206	0.00033474	0.03032	
0.00097471	0.041804	3.0859e-05	0.0001948	0.01	0.0036881	0.0013677	0.15914	0.00038464	0.00043949	0.0056045	0.0015487	0.0052114	0.013333	2.7864e-05	0.00072479	0.0002872	0.003601	0.01	0.01	6.4063e-05	0.00053545	0.7105	0.0030173	0.00033323	0.030331	
0.00097271	0.041046	2.985e-05	0.00018674	0.01	0.0036852	0.0013578	0.15929	0.00038152	0.00043774	0.0055892	0.0015417	0.0052106	0.012946	2.604e-05	0.00071913	0.00028426	0.003601	0.01	0.01	6.354e-05	0.00053056	0.71109	0.003014	0.00033164	0.030342	
0.00097066	0.040276	2.8791e-05	0.00017851	0.01	0.0036824	0.0013476	0.15944	0.00037839	0.00043596	0.0055735	0.0015347	0.0052096	0.012522	2.4168e-05	0.00071342	0.00028121	0.003601	0.01	0.01	6.299e-05	0.00052563	0.71168	0.0030107	0.00033	0.030353	
0.00096762	0.039493	2.7681e-05	0.00017013	0.01	0.0036795	0.001337	0.15959	0.00037524	0.00043415	0.0055571	0.0015275	0.0052084	0.01206	2.2248e-05	0.00070767	0.00027803	0.0036009	0.01	0.01	6.2412e-05	0.00052065	0.71226	0.0030074	0.00032829	0.030363	
0.00097061	0.038695	2.6508e-05	0.00016209	0.01	0.0036767	0.0013262	0.15974	0.00037207	0.0004323	0.005542	0.0015201	0.005207	0.011549	2.0432e-05	0.000702	0.00027472	0.003601	0.01	0.01	6.1862e-05	0.00051576	0.71285	0.0030041	0.00032652	0.030374	
0.00097354	0.037882	2.527e-05	0.00015386	0.01	0.0036738	0.001315	0.15989	0.00036888	0.00043043	0.0055263	0.0015126	0.0052055	0.010986	1.8562e-05	0.00069629	0.00027125	0.0036009	0.01	0.01	6.1283e-05	0.00051082	0.71344	0.0030008	0.00032468	0.030384	
0.00097659	0.037093	2.4151e-05	0.00014597	0.01	0.003671	0.0013044	0.16004	0.00036573	0.00042861	0.0055118	0.0015054	0.0052043	0.01052	1.6792e-05	0.00069065	0.00026807	0.003601	0.01	0.01	6.073e-05	0.00050596	0.71404	0.0029975	0.00032297	0.030395	
0.00097959	0.03629	2.2972e-05	0.0001379	0.01	0.0036681	0.0012936	0.16019	0.00036255	0.00042676	0.0054966	0.001498	0.0052029	0.010007	1.4969e-05	0.00068497	0.00026475	0.003601	0.01	0.01	6.0148e-05	0.00050106	0.71464	0.0029942	0.00032119	0.030406	
0.00098254	0.035473	2.173e-05	0.00012966	0.01	0.0036652	0.0012824	0.16034	0.00035935	0.00042488	0.0054808	0.0014905	0.0052013	0.0094436	1.3095e-05	0.00067924	0.00026128	0.003601	0.01	0.01	5.9537e-05	0.0004961	0.71523	0.0029909	0.00031934	0.030416	
0.00098124	0.034676	2.0594e-05	0.00012171	0.01	0.0036623	0.0012718	0.16049	0.00035618	0.00042305	0.0054661	0.0014832	0.0052001	0.0089674	1.1308e-05	0.00067358	0.00025807	0.0036011	0.01	0.01	5.8949e-05	0.00049122	0.71583	0.0029876	0.0003176	0.030427	
