Trichechus_manatus	Procavia_capensis	Orycteropus_afer	Mammuthus_primigenius	Loxodonta_africana	Heterohyrax_brucei	Elephas_maximus	Elephantulus_edwardii	Echinops_telfairi	Dugong_dugon	Chrysochloris_asiatica	
0.00049369	0.0017194	4.57e-06	0.00072009	0.0099591	0.00029366	0.0015881	2.1203e-05	0.3087	0.0013941	1.5217e-06	
0.0004905	0.00171	4.204e-06	0.00071589	0.0099572	0.00029112	0.0015859	2.0591e-05	0.30859	0.0013891	1.1243e-06	
0.00048741	0.0017006	3.8901e-06	0.00071169	0.0099552	0.00028861	0.0015838	2.0126e-05	0.30867	0.0013842	7.8645e-07	
0.00048426	0.0016912	3.5471e-06	0.00070748	0.0099533	0.00028608	0.0015816	1.9582e-05	0.30865	0.0013793	4.1552e-07	
0.00048122	0.0016819	3.2546e-06	0.00070328	0.0099514	0.00028358	0.0015795	1.9178e-05	0.30882	0.0013745	1.0192e-07	
0.00047811	0.0016725	2.9342e-06	0.00069906	0.0099494	0.00028105	0.0015773	1.8726e-05	0.30884	0.0013697	4.7467e-08	
0.00047492	0.0016631	2.5659e-06	0.00069486	0.0099475	0.00027851	0.0015752	1.8157e-05	0.30997	0.0013647	2.7671e-08	
0.00047189	0.0016535	2.1579e-06	0.00069064	0.0099456	0.00027594	0.001573	1.7523e-05	0.31086	0.0013599	2.7333e-08	
0.00046878	0.0016439	1.7123e-06	0.00068642	0.0099437	0.00027335	0.0015709	1.6785e-05	0.3116	0.0013551	2.5362e-08	
0.0004658	0.0016342	1.3647e-06	0.00068218	0.0099417	0.00027074	0.0015687	1.6278e-05	0.31136	0.0013504	2.4372e-08	
0.00046273	0.0016246	1.2016e-06	0.00067795	0.0099397	0.00026816	0.0015665	1.5512e-05	0.31093	0.0013456	2.1248e-08	
0.00045957	0.0016295	1.0294e-06	0.00067371	0.0099378	0.00026505	0.0015643	1.4608e-05	0.31036	0.0013407	1.6385e-08	
0.00045635	0.0016343	8.4035e-07	0.00066946	0.0099358	0.00026191	0.0015621	1.356e-05	0.30961	0.0013356	2.1824e-08	
0.00045325	0.0016392	7.9051e-07	0.0006652	0.0099338	0.00025881	0.0015599	1.331e-05	0.30864	0.0013308	2.517e-08	
0.00045007	0.001644	7.3357e-07	0.00066093	0.0099317	0.00025569	0.0015577	1.3004e-05	0.30747	0.0013258	2.6795e-08	
0.00044681	0.0016488	6.6902e-07	0.00065664	0.0099297	0.00025254	0.0015554	1.2633e-05	0.3061	0.0013207	2.6717e-08	
0.00044369	0.0016438	6.1524e-07	0.00065237	0.0099276	0.00024975	0.0015532	1.2367e-05	0.30165	0.0013159	2.7072e-08	
0.00044049	0.0016388	5.5428e-07	0.00064808	0.0099256	0.00024694	0.001551	1.2043e-05	0.29685	0.0013109	2.5686e-08	
0.00043721	0.0016337	4.8559e-07	0.00064378	0.0099235	0.0002441	0.0015487	1.1653e-05	0.29134	0.0013058	2.2582e-08	
0.00043406	0.0016287	4.2758e-07	0.00063949	0.0099215	0.0002413	0.0015465	1.137e-05	0.27471	0.0013008	1.9864e-08	
0.00043102	0.0016238	3.7867e-07	0.00063521	0.0099195	0.00023853	0.0015443	1.0441e-05	0.26159	0.001296	1.7397e-08	
0.0004281	0.0016189	3.3748e-07	0.00063093	0.0099175	0.00023579	0.0015421	9.7413e-06	0.25123	0.0012914	1.5096e-08	
0.0004251	0.001614	2.9063e-07	0.00062665	0.0099155	0.00023303	0.0015399	8.9168e-06	0.23936	0.0012867	1.1198e-08	
0.00042204	0.001609	2.9711e-07	0.00062235	0.0099135	0.00023024	0.0015377	7.928e-06	0.22484	0.0012819	1.5128e-08	
0.0004189	0.001604	3.0072e-07	0.00061804	0.0099115	0.00022744	0.0015354	6.7859e-06	0.20843	0.001277	1.7526e-08	
0.00041589	0.001599	3.0736e-07	0.00061374	0.0099095	0.00022467	0.0015332	5.9231e-06	0.19596	0.0012723	2.0303e-08	
0.00041299	0.0015941	3.1723e-07	0.00060944	0.0099075	0.00022193	0.001531	5.2711e-06	0.18613	0.0012677	2.3363e-08	
0.0004102	0.0015892	2.9883e-07	0.00060516	0.0099056	0.00021917	0.0015289	4.7923e-06	0.15748	0.0012633	2.7133e-08	
0.00040734	0.0015841	2.7664e-07	0.00060086	0.0099037	0.00021638	0.0015267	4.2275e-06	0.12463	0.0012587	2.9143e-08	
0.00040459	0.001579	2.5877e-07	0.00059657	0.0099018	0.00021357	0.0015245	3.8145e-06	0.076445	0.0012544	2.7431e-08	
0.00040177	0.0015739	2.3722e-07	0.00059227	0.0098999	0.00021074	0.0015224	3.321e-06	0.060774	0.0012499	3.3155e-08	
0.00039906	0.0015688	2.1988e-07	0.00058798	0.009898	0.00020794	0.0015202	2.9581e-06	0.048668	0.0012456	3.989e-08	
0.00039646	0.0015638	2.0571e-07	0.00058369	0.0098962	0.00020517	0.0015181	2.683e-06	0.039049	0.0012415	4.7639e-08	
0.00039398	0.0015589	1.9472e-07	0.00057941	0.0098944	0.00020244	0.001516	2.4817e-06	0.031585	0.0012375	5.6883e-08	
0.00039159	0.0015541	1.862e-07	0.00057514	0.0098927	0.00019974	0.001514	2.3312e-06	0.025637	0.0012336	6.7671e-08	
0.00038913	0.0015492	1.7494e-07	0.00057086	0.0098909	0.00019702	0.0015119	2.1514e-06	0.018873	0.0012297	7.6056e-08	
0.00038662	0.0015442	1.6106e-07	0.00056657	0.0098891	0.00019428	0.0015098	1.9414e-06	0.017836	0.0012257	8.1879e-08	
0.00038422	0.0015393	1.5006e-07	0.00056228	0.0098874	0.00019157	0.0015077	1.7889e-06	0.014647	0.0012218	8.9797e-08	
0.00038174	0.0015346	1.4124e-07	0.00055801	0.0098857	0.00018889	0.0015056	1.6757e-06	0.012112	0.0012179	9.9513e-08	
0.00037936	0.0015298	1.3438e-07	0.00055374	0.009884	0.00018624	0.0015036	1.5937e-06	0.010095	0.001214	1.1132e-07	
0.00037707	0.0015252	1.293e-07	0.00054947	0.0098824	0.00018362	0.0015016	1.5368e-06	0.0084893	0.0012103	1.2559e-07	
0.00037488	0.0015206	1.2587e-07	0.00054522	0.0098809	0.00018103	0.0014996	1.5011e-06	0.0072129	0.0012068	1.4277e-07	
0.00037359	0.001516	1.2431e-07	0.00054097	0.0098793	0.00017842	0.0014977	1.4865e-06	0.0062268	0.0011942	1.6397e-07	
0.00037226	0.0015113	1.2063e-07	0.00053671	0.0098778	0.00017578	0.0014957	1.4601e-06	0.0051139	0.0011815	1.8184e-07	
0.00037101	0.0015066	1.1877e-07	0.00053246	0.0098763	0.00017318	0.0014938	1.4538e-06	0.004255	0.0011691	2.0415e-07	
0.00036984	0.001502	1.1866e-07	0.00052822	0.0098749	0.00017056	0.0014919	1.4671e-06	0.0035925	0.001157	2.3179e-07	
0.00036875	0.0014974	1.2031e-07	0.00052398	0.0098735	0.00016797	0.00149	1.5012e-06	0.0030817	0.0011453	2.6583e-07	
0.00036775	0.0014928	1.2351e-07	0.00051975	0.0098721	0.00016541	0.0014881	1.5567e-06	0.0026781	0.0011339	3.0672e-07	
0.00036682	0.0014884	1.2863e-07	0.00051553	0.0098708	0.00016288	0.0014863	1.6412e-06	0.002368	0.0011227	3.5685e-07	
0.00036598	0.001484	1.3585e-07	0.00051132	0.0098695	0.00016038	0.0014845	1.7628e-06	0.0021309	0.0011119	4.1824e-07	
0.00036521	0.0014796	1.4545e-07	0.00050712	0.0098683	0.00015786	0.0014827	1.9336e-06	0.0014069	0.0011014	4.9518e-07	
0.00036452	0.0014752	1.4901e-07	0.00050292	0.0098672	0.00015537	0.001481	2.0497e-06	0.0012482	0.0010912	5.4969e-07	
0.0003639	0.0014708	1.5875e-07	0.00049871	0.009866	0.00015285	0.0014792	2.0715e-06	0.001163	0.0010812	5.6262e-07	
0.00036336	0.0014664	1.7087e-07	0.00049451	0.0098648	0.00015036	0.0014775	2.1164e-06	0.0010991	0.0010715	5.8105e-07	
0.00036277	0.0014621	1.8044e-07	0.0004903	0.0098637	0.0001479	0.0014757	2.147e-06	0.0010222	0.0010617	5.9522e-07	
0.00036214	0.0014578	1.8756e-07	0.00048607	0.0098625	0.00014542	0.0014739	2.1642e-06	0.00093163	0.0010517	6.0533e-07	
0.00036157	0.0014535	1.9698e-07	0.00048186	0.0098613	0.00014297	0.0014722	2.2036e-06	0.0008616	0.001042	6.2074e-07	
0.00036096	0.0014492	2.0373e-07	0.00047763	0.0098601	0.0001405	0.0014704	2.2279e-06	0.00077773	0.0010321	6.3166e-07	
0.0003603	0.0014448	2.0786e-07	0.00047339	0.0098589	0.00013801	0.0014686	2.2375e-06	0.00067858	0.0010221	6.3818e-07	
0.0003596	0.0014404	2.0959e-07	0.00046916	0.0098577	0.0001355	0.0014668	2.234e-06	0.00056407	0.001012	6.4073e-07	
0.00035898	0.001436	2.1387e-07	0.00046493	0.0098566	0.00013302	0.0014651	2.2547e-06	0.00047577	0.0010021	6.4911e-07	
0.00035831	0.0014315	2.155e-07	0.0004607	0.0098555	0.00013052	0.0014633	2.2606e-06	0.00037207	0.00099214	6.5304e-07	
0.00035759	0.0014271	2.1467e-07	0.00045645	0.0098543	0.000128	0.0014615	2.2528e-06	0.00025207	0.000982	6.5405e-07	
0.00035695	0.0014226	2.1649e-07	0.00045221	0.0098532	0.00012551	0.0014598	2.27e-06	0.00015887	0.00097214	6.6112e-07	
0.00035626	0.0014182	2.1555e-07	0.00044798	0.0098521	0.000123	0.0014581	2.2716e-06	5.6407e-05	0.00096212	6.6332e-07	
0.00035552	0.0014138	2.1061e-07	0.00044376	0.009851	0.00012052	0.0014564	2.253e-06	3.9466e-05	0.00095194	6.5782e-07	
0.00035473	0.0014093	2.0286e-07	0.00043954	0.0098501	0.00011802	0.0014547	2.2183e-06	1.7561e-05	0.0009416	6.4759e-07	
0.00035389	0.0014049	1.9126e-07	0.00043533	0.0098491	0.00011555	0.0014531	2.1638e-06	1.6355e-05	0.00093111	6.3013e-07	
0.00035301	0.0014005	1.7688e-07	0.00043111	0.0098481	0.00011305	0.0014514	2.0927e-06	1.2316e-05	0.00092047	6.0803e-07	
0.00035219	0.0013961	1.6526e-07	0.00042689	0.0098472	0.00011059	0.0014498	1.8265e-06	8.3054e-06	0.0009101	5.9202e-07	
0.00035146	0.0013918	1.5642e-07	0.00042268	0.0098463	0.00010816	0.0014481	1.6329e-06	4.2598e-06	0.00090001	5.8225e-07	
0.00035068	0.0013875	1.4505e-07	0.00042481	0.0098454	0.0001057	0.0014465	1.4061e-06	6.7711e-06	0.00088978	5.6723e-07	
0.00034996	0.0013831	1.3595e-07	0.00042693	0.0098446	0.00010323	0.0014449	1.2355e-06	8.7438e-06	0.00087981	5.5758e-07	
0.00034921	0.0013786	1.244e-07	0.00042905	0.0098437	0.00010074	0.0014433	1.0358e-06	8.1922e-06	0.00086969	5.4379e-07	
0.00034841	0.0013741	1.1033e-07	0.00043115	0.0098428	9.8226e-05	0.0014416	8.0304e-07	1.9991e-05	0.00085945	5.2473e-07	
0.00034768	0.0013696	9.8834e-08	0.00043326	0.0098419	9.5744e-05	0.00144	6.3182e-07	3.3966e-05	0.00084948	5.1174e-07	
0.00034703	0.0013652	8.9517e-08	0.00043537	0.0098411	9.3292e-05	0.0014384	5.06e-07	5.1068e-05	0.00083977	5.043e-07	
0.00034633	0.0013608	7.7785e-08	0.00043747	0.0098403	9.082e-05	0.0014368	3.5621e-07	6.3628e-05	0.00082992	4.926e-07	
