Zootoca_vivipara	Vipera_berus	Thamnophis_elegans	Sceloporus_undulatus	Python_bivittatus	Ptyas_mucosa	Pseudonaja_textilis	Protobothrops_mucrosquamatus	Pogona_vitticeps	Podarcis_muralis	Pituophis_catenifer	Pantherophis_obsoletus	Notechis_scutatus	Naja_naja	Laticauda_colubrina	Lacerta_agilis	Hydrophis_cyanocinctus	Gekko_japonicus	Crotalus_tigris	Chrysopelea_ornata	Bothrops_jararaca	Anolis_carolinensis	
0.0010983	0.0001492	3.4457e-05	2.3665e-05	0.00013055	0.0001152	0.0060492	0.00014461	0.0001083	0.00018771	2.7164e-05	0.0001124	3.6585e-05	0.00029337	0.000152	0.0083989	0.0055704	0.0020154	3.144e-06	3.7781e-05	0.0012201	5.6095e-05	
0.0010925	0.00014731	3.3411e-05	2.2464e-05	0.00012643	0.0001142	0.0060365	0.00014191	9.7423e-05	0.0001817	2.6396e-05	0.00011038	3.3136e-05	0.00029193	0.00015064	0.0084025	0.0055661	0.0020102	2.8128e-06	3.6416e-05	0.0012179	5.4977e-05	
0.001087	0.0001455	3.2455e-05	2.1401e-05	0.0001226	0.00011324	0.006024	0.00013927	8.863e-05	0.00017586	2.5661e-05	0.0001084	2.9726e-05	0.00029055	0.00014931	0.0084065	0.0055618	0.0020061	2.5406e-06	3.5139e-05	0.0012158	5.4053e-05	
0.0010813	0.00014365	3.1456e-05	2.0274e-05	0.00011863	0.00011225	0.0060114	0.0001366	7.8929e-05	0.00016994	2.491e-05	0.0001064	2.6293e-05	0.00028915	0.00014796	0.0084103	0.0055575	0.0020015	2.2425e-06	3.3819e-05	0.0012136	5.3042e-05	
0.001076	0.00014188	3.055e-05	1.9288e-05	0.00011497	0.00011131	0.005999	0.00013401	7.1254e-05	0.00016422	2.4195e-05	0.00010444	2.2901e-05	0.00028781	0.00014664	0.0084147	0.0055533	0.0019982	2.0019e-06	3.2592e-05	0.0012115	5.2226e-05	
0.0010709	0.00014007	2.9597e-05	1.8231e-05	0.00011115	0.00011035	0.0059865	0.00013137	6.259e-05	0.00015872	2.346e-05	0.00010246	1.9483e-05	0.00028644	0.00014531	0.0084196	0.0055491	0.0019966	1.7337e-06	3.1316e-05	0.0012094	5.1315e-05	
0.0010663	0.00013835	2.8746e-05	1.733e-05	0.00010767	0.00010944	0.0059742	0.00012881	5.6312e-05	0.00015345	2.2767e-05	0.00010053	1.6113e-05	0.00028515	0.00014401	0.0084251	0.0055451	0.0019961	1.5252e-06	3.0144e-05	0.0012074	5.0614e-05	
0.0010619	0.00013672	2.8003e-05	1.6578e-05	0.00010455	0.0001086	0.0059623	0.00012635	5.1743e-05	0.0001484	2.2113e-05	9.8642e-05	1.2804e-05	0.00028395	0.00014274	0.0084313	0.0055412	0.0019922	1.3722e-06	2.9078e-05	0.0012055	5.0109e-05	
0.0010574	0.00013505	2.8156e-05	1.5755e-05	0.00010127	0.00010772	0.0059501	0.00012384	4.6448e-05	0.00014853	2.1438e-05	9.673e-05	9.4651e-06	0.0002827	0.00014146	0.0084372	0.0055373	0.0019875	1.1974e-06	2.7963e-05	0.0012035	4.9549e-05	
0.0010621	0.00013347	2.7869e-05	1.5069e-05	9.8289e-05	0.0001069	0.0059383	0.00012141	4.252e-05	0.00014833	2.0802e-05	9.4866e-05	6.174e-06	0.00028153	0.00014021	0.0084407	0.0055335	0.0019851	1.0627e-06	2.694e-05	0.0012016	4.7606e-05	
0.0010671	0.00013197	2.7629e-05	1.4489e-05	9.5593e-05	0.00010612	0.0059262	0.00011906	3.96e-05	0.0001482	2.0202e-05	9.305e-05	5.6946e-06	0.00028032	0.00013893	0.0084447	0.0055296	0.0019782	9.592e-07	2.6003e-05	0.0011999	4.6062e-05	
0.0010725	0.00013042	2.7363e-05	1.3999e-05	9.2706e-05	0.00010532	0.005914	0.00011666	3.7472e-05	0.00014813	1.9583e-05	9.1206e-05	5.2044e-06	0.00027906	0.00013764	0.0084493	0.0055257	0.0019738	8.4034e-07	2.5021e-05	0.001198	4.4843e-05	
0.0010782	0.00012896	2.7143e-05	1.3417e-05	9.0105e-05	0.00010457	0.005902	0.00011434	3.4631e-05	0.00014813	1.8999e-05	8.9409e-05	4.7163e-06	0.00027788	0.00013639	0.0084545	0.0055219	0.0019656	7.4896e-07	2.1871e-05	0.0011963	4.3415e-05	
0.0010837	0.00012757	2.6965e-05	1.2925e-05	8.7753e-05	0.00010386	0.0058899	0.0001121	3.2553e-05	0.00014808	1.8449e-05	8.7658e-05	4.8336e-06	0.00027666	0.00013511	0.0084595	0.005518	0.0019608	6.791e-07	1.8972e-05	0.0011947	4.2288e-05	
0.0010896	0.00012626	2.6829e-05	1.2512e-05	8.5629e-05	0.0001032	0.005878	0.00010992	3.1063e-05	0.0001481	1.7931e-05	8.595e-05	4.9485e-06	0.00027551	0.00013386	0.008465	0.0055143	0.0019574	6.2616e-07	1.6305e-05	0.0011931	4.1406e-05	
0.0010953	0.00012491	2.6666e-05	1.2053e-05	8.3371e-05	0.00010251	0.0058659	0.00010771	2.9381e-05	0.00014806	1.7393e-05	8.4215e-05	5.0541e-06	0.00027432	0.0001326	0.0084702	0.0055105	0.0019531	5.6343e-07	1.3512e-05	0.0011915	4.0394e-05	
0.0011008	0.00012363	2.6481e-05	1.1551e-05	8.0978e-05	0.0001018	0.0058537	0.00010556	2.7372e-05	0.00014797	1.6838e-05	8.2453e-05	5.1507e-06	0.00027309	0.00013133	0.0084752	0.0055065	0.0019481	5.1852e-07	1.3124e-05	0.00119	3.9253e-05	
0.0011061	0.00012243	2.5602e-05	1.1127e-05	7.8815e-05	0.00010113	0.0058418	0.00010348	2.5938e-05	0.00014784	1.6314e-05	8.0736e-05	5.245e-06	0.00027194	0.00013008	0.0084798	0.0055028	0.0019404	4.8515e-07	1.2772e-05	0.0011886	3.8357e-05	
0.0011624	0.00011095	1.7698e-05	7.4653e-06	5.8949e-05	9.4814e-05	0.0057243	8.32e-05	1.4792e-05	0.00014663	1.1325e-05	6.3873e-05	5.8589e-06	0.00026109	0.00011791	0.0085322	0.0054672	0.0018824	2.086e-07	9.4657e-06	0.0011752	3.13e-05	
0.0011678	0.00010975	1.6854e-05	7.0535e-06	5.6823e-05	9.4153e-05	0.0057124	8.1119e-05	1.3322e-05	0.00014641	1.0805e-05	6.2151e-05	5.8809e-06	0.00025996	0.00011666	0.0085372	0.0054636	0.0018807	1.7197e-07	9.1039e-06	0.0011738	3.0492e-05	
0.0011736	0.00010862	1.6099e-05	6.7038e-06	5.4892e-05	9.3534e-05	0.0057007	7.9101e-05	1.2239e-05	0.00014626	1.0314e-05	6.0471e-05	5.9004e-06	0.0002589	0.00011545	0.0085427	0.0054601	0.0018801	1.4359e-07	8.7732e-06	0.0011725	2.9861e-05	
0.0011797	0.00010755	1.5424e-05	6.3183e-06	5.3152e-05	9.2954e-05	0.0056892	7.7146e-05	1.0858e-05	0.00014616	9.8493e-06	5.8831e-05	5.9176e-06	0.00025792	0.00011427	0.0085488	0.0054568	0.0018778	1.2174e-07	8.4717e-06	0.0011712	2.914e-05	
0.0011862	0.00010655	1.4829e-05	5.9977e-06	5.1597e-05	9.2418e-05	0.005678	7.5258e-05	9.8757e-06	0.00014614	9.4132e-06	5.7235e-05	5.933e-06	0.00025379	0.00011312	0.0085556	0.0054537	0.001871	1.0562e-07	8.2003e-06	0.0011701	2.8598e-05	
0.0011931	0.00010561	1.4299e-05	5.7365e-06	5.0194e-05	9.1919e-05	0.0056671	7.3428e-05	9.1785e-06	0.00014617	9.0012e-06	5.5677e-05	5.9459e-06	0.00024984	0.00011201	0.008563	0.0054508	0.001856	9.3521e-08	7.9542e-06	0.0011691	2.6797e-05	
0.0012004	0.00010473	1.3834e-05	5.5227e-06	4.8947e-05	9.146e-05	0.0056565	7.1662e-05	8.7303e-06	0.00014628	8.6144e-06	5.4161e-05	5.9571e-06	0.0002461	0.00011092	0.008571	0.0054481	0.0018241	8.5068e-08	7.7341e-06	0.0011681	2.5388e-05	
0.0012075	0.00010381	1.3335e-05	5.2827e-06	4.7612e-05	9.098e-05	0.0056457	6.9859e-05	8.1279e-06	0.00014633	8.2134e-06	5.262e-05	5.9589e-06	0.00024226	0.00010982	0.0085788	0.0054454	0.0018093	7.3738e-08	7.4973e-06	0.0011671	2.3799e-05	
