Gavialis_gangeticus	Crocodylus_porosus	Alligator_sinensis	Alligator_mississippiensis	
0.0061273	0.00017725	0.0030207	0.0015003	
0.0061295	0.00017438	0.0030165	0.0014974	
0.0061319	0.00017161	0.0030125	0.0014946	
0.0061342	0.00016877	0.0030084	0.0014918	
0.0061363	0.00016582	0.0030043	0.001489	
0.0061385	0.00016299	0.0030003	0.0014863	
0.006141	0.00016025	0.0029963	0.0014835	
0.0061433	0.00015745	0.0029923	0.0014808	
0.0061459	0.00015474	0.0029883	0.0014781	
0.0061487	0.00015213	0.0029844	0.0014754	
0.0061385	0.00014971	0.0029805	0.0014728	
0.0061287	0.00014738	0.0029767	0.0014702	
0.0061187	0.00014499	0.0029728	0.0014676	
0.0061085	0.00014255	0.0029689	0.0014649	
0.0060987	0.00014019	0.0029651	0.0014623	
0.0060886	0.00013777	0.0029612	0.0014597	
0.0060784	0.0001353	0.0029572	0.001457	
0.0060686	0.00013293	0.0029534	0.0014544	
0.0060586	0.0001305	0.0029495	0.0014517	
0.0060484	0.00012803	0.0029455	0.001449	
0.0060385	0.00012563	0.0029416	0.0014464	
0.0060285	0.00012318	0.0029377	0.0014437	
0.0060189	0.00012085	0.0029337	0.001441	
0.0060096	0.00011859	0.0029298	0.0014384	
0.0060006	0.00011643	0.0029259	0.0014358	
0.0059914	0.00011421	0.002922	0.0014331	
0.0059821	0.00011195	0.0029181	0.0014304	
0.0059731	0.00010977	0.0029142	0.0014278	
0.0059643	0.00010765	0.0029103	0.0014252	
0.0059558	0.00010561	0.0029065	0.0014226	
0.0059471	0.00010351	0.0029027	0.00142	
0.0059383	0.00010137	0.0028988	0.0014174	
0.0059298	9.9296e-05	0.0028949	0.0014148	
0.0059216	9.7306e-05	0.0028911	0.0014123	
0.0059136	9.5382e-05	0.0028874	0.0014098	
0.0059054	9.341e-05	0.0028836	0.0014072	
0.0058972	9.1394e-05	0.0028798	0.0014046	
0.0058893	8.9474e-05	0.0028759	0.001402	
0.0058816	8.7617e-05	0.0028721	0.0013995	
0.0058742	8.582e-05	0.0028683	0.0013969	
0.0058671	8.4081e-05	0.0028646	0.0013944	
0.0058602	8.24e-05	0.0028609	0.001392	
0.0058535	8.0786e-05	0.0028572	0.0013895	
0.0058467	7.9132e-05	0.0028535	0.0013871	
0.0058402	7.7544e-05	0.0028498	0.0013847	
0.005834	7.6021e-05	0.0028462	0.0013823	
0.005828	7.4548e-05	0.0028427	0.0013799	
0.0058219	7.3039e-05	0.0028391	0.0013775	
0.0058161	7.1592e-05	0.0028355	0.0013752	
0.0058105	7.0205e-05	0.002832	0.0013729	
0.0058046	6.8757e-05	0.0028286	0.0013707	
0.005799	6.7357e-05	0.0028251	0.0013684	
0.0057936	6.6015e-05	0.0028218	0.0013662	
0.0057884	6.4717e-05	0.0028184	0.0013641	
0.0057832	6.3387e-05	0.0028151	0.0013619	
0.0057781	6.2111e-05	0.0028117	0.0013597	
0.0057533	6.0919e-05	0.0028084	0.0013576	
0.0057281	5.9694e-05	0.0028051	0.0013555	
0.0057026	5.8436e-05	0.0028018	0.0013533	
0.0056777	5.7218e-05	0.0027985	0.0013512	
0.0056532	5.604e-05	0.0027952	0.001349	
0.0056293	5.49e-05	0.0027919	0.001347	
0.0056051	5.3731e-05	0.0027887	0.0013449	
0.0055814	5.26e-05	0.0027854	0.0013428	
0.0055575	5.1438e-05	0.0027822	0.0013407	
0.0055332	5.0245e-05	0.0027789	0.0013386	
0.0055096	4.9098e-05	0.0027756	0.0013365	
0.0054857	4.7921e-05	0.0027723	0.0013344	
0.0054624	4.6789e-05	0.0027691	0.0013323	
0.0054388	4.5627e-05	0.0027658	0.0013302	
0.0054158	4.451e-05	0.0027626	0.0013281	
0.0053925	4.3363e-05	0.0027593	0.001326	
0.0053697	4.2251e-05	0.0027561	0.001324	
0.0053475	4.1182e-05	0.0027529	0.001322	
0.005325	4.0084e-05	0.0027497	0.0013199	
0.0053031	3.9029e-05	0.0027466	0.0013179	
0.0052809	3.7944e-05	0.0027434	0.0013159	
0.0052584	3.683e-05	0.0027401	0.0013138	
0.0052359	3.5688e-05	0.0027369	0.0013117	
0.0052137	3.4581e-05	0.0027337	0.0013097	
0.0051914	3.3447e-05	0.0027304	0.0013076	
0.0051695	3.2346e-05	0.0027272	0.0013056	
0.005148	3.1278e-05	0.002724	0.0013036	
0.0051264	3.0184e-05	0.0027208	0.0013015	
0.0051052	2.913e-05	0.0027177	0.0012995	
0.0050833	2.9468e-05	0.0027145	0.0012975	
0.0050618	2.9825e-05	0.0027113	0.0012955	
0.0050402	3.0163e-05	0.0027082	0.0012935	
0.005019	3.0522e-05	0.002705	0.0012915	
0.0049977	3.0863e-05	0.0027019	0.0012895	
0.0049768	3.1224e-05	0.0026987	0.0012875	
0.0049558	3.1567e-05	0.0026956	0.0012855	
0.0049345	3.1894e-05	0.0026924	0.0012835	
0.0049137	3.2236e-05	0.0026893	0.0012815	
0.0048933	3.1699e-05	0.0026862	0.0012796	
0.0048733	3.1179e-05	0.0026831	0.0012777	
0.0048532	3.0641e-05	0.00268	0.0012757	
0.0048328	3.0085e-05	0.0026769	0.0012737	
0.0048129	2.9551e-05	0.0026738	0.0012718	
0.0047929	2.9001e-05	0.0026706	0.0012698	
0.0047733	2.8471e-05	0.0026676	0.0012679	
0.0047535	2.7924e-05	0.0026645	0.0012659	
0.0047335	2.7359e-05	0.0026613	0.001264	
0.0047133	2.6779e-05	0.0026582	0.001262	
0.0046936	2.6217e-05	0.0026551	0.00126	
0.0046742	2.567e-05	0.002652	0.0012581	
0.0046553	2.5141e-05	0.0026489	0.0012562	
0.0046362	2.4598e-05	0.0026459	0.0012543	
0.0046175	2.4072e-05	0.0026428	0.0012524	
0.0045992	2.3562e-05	0.0026398	0.0012505	
0.0045808	2.3038e-05	0.0026368	0.0012486	
0.0045627	2.253e-05	0.0026338	0.0012468	
0.0045445	2.2008e-05	0.0026308	0.0012449	
0.0045267	2.1501e-05	0.0026278	0.001243	
0.0045092	2.101e-05	0.0026248	0.0012412	
0.0044917	2.0506e-05	0.0026218	0.0012394	
0.0044744	2.0012e-05	0.0026189	0.0012375	
0.0044574	1.9529e-05	0.002616	0.0012357	
0.0044408	1.906e-05	0.0026131	0.001234	
0.0044245	1.8603e-05	0.0026102	0.0012322	
0.0044084	1.8157e-05	0.0026074	0.0012305	
0.0043923	1.7697e-05	0.0026045	0.0012287	
0.004376	1.7225e-05	0.0026016	0.001227	
0.00436	1.6762e-05	0.0025988	0.0012252	
0.004344	1.6287e-05	0.0025959	0.0012235	
0.0043278	1.58e-05	0.002593	0.0012217	
0.0043115	1.5301e-05	0.0025901	0.0012199	
0.0042954	1.4811e-05	0.0025872	0.0012182	
0.0042793	1.4309e-05	0.0025843	0.0012164	
0.0042635	1.3816e-05	0.0025814	0.0012146	
0.0042475	1.3311e-05	0.0025785	0.0012128	
0.0042314	1.2794e-05	0.0025756	0.0012111	
0.0042157	1.2289e-05	0.0025727	0.0012093	
0.0042002	1.1796e-05	0.0025698	0.0012075	
0.0041851	1.1311e-05	0.002567	0.0012058	
0.0041701	1.0834e-05	0.0025642	0.0012041	
0.0041551	1.0344e-05	0.0025614	0.0012024	
0.0041404	9.8658e-06	0.0025586	0.0012007	
0.0041255	9.3757e-06	0.0025557	0.001199	
0.004111	8.8932e-06	0.0025529	0.0011973	
0.0040963	8.3987e-06	0.0025501	0.0011956	
0.0040818	7.9116e-06	0.0025473	0.0011939	
0.0040677	7.4345e-06	0.0025446	0.0011922	
0.0040538	6.9672e-06	0.0025418	0.0011906	
0.0040398	6.488e-06	0.0025391	0.0011889	
0.0040258	5.9975e-06	0.0025363	0.0011873	
0.004012	5.5139e-06	0.0025335	0.0011856	
0.0039977	5.7066e-06	0.0025308	0.001184	
0.0039837	5.9025e-06	0.002528	0.0011823	
0.0039697	6.0887e-06	0.0025253	0.0011807	
0.0039555	6.2657e-06	0.0025225	0.001179	
0.0039417	6.4458e-06	0.0025197	0.0011773	
0.0039277	6.6163e-06	0.002517	0.0011757	
0.0039137	6.7776e-06	0.0025142	0.001174	
0.0038998	6.9404e-06	0.0025114	0.0011723	
0.0038859	7.0937e-06	0.0025086	0.0011707	
0.0038719	7.2376e-06	0.0025058	0.001169	
0.0038582	7.3844e-06	0.002503	0.0011673	
0.0038444	7.5219e-06	0.0025003	0.0011656	
0.0038308	7.6607e-06	0.0024975	0.001164	
0.0038171	7.7902e-06	0.0024947	0.0011623	
0.0038036	7.9225e-06	0.0024919	0.0011607	
0.0037905	8.0578e-06	0.0024892	0.001159	
0.0037775	8.1945e-06	0.0024865	0.0011574	
0.0037645	8.3219e-06	0.0024837	0.0011558	
0.0037513	8.4401e-06	0.002481	0.0011541	
0.0037381	8.5491e-06	0.0024782	0.0011525	
0.0037249	8.649e-06	0.0024754	0.0011508	
0.0037118	8.7517e-06	0.0024727	0.0011492	
0.0036987	8.8455e-06	0.0024699	0.0011475	
0.0036855	8.9305e-06	0.0024671	0.0011458	
0.0036726	9.0183e-06	0.0024644	0.0011442	
0.0036599	9.1074e-06	0.0024616	0.0011425	
0.0036471	9.1874e-06	0.0024589	0.0011409	
0.0036345	9.2686e-06	0.0024561	0.0011393	
0.0036218	9.3407e-06	0.0024534	0.0011376	
0.0036093	9.4157e-06	0.0024506	0.001136	
0.0035968	9.4819e-06	0.0024479	0.0011344	
0.0035843	9.5393e-06	0.0024451	0.0011327	
0.0035716	9.588e-06	0.0024423	0.0011311	
0.0035592	9.6395e-06	0.0024396	0.0011294	
0.003547	9.6922e-06	0.0024369	0.0011278	
0.0035347	9.7359e-06	0.0024341	0.0011262	
0.0035224	9.7708e-06	0.0024313	0.0011245	
0.0035102	9.807e-06	0.0024286	0.0011229	
0.0034982	9.8444e-06	0.0024259	0.0011213	
0.0034865	9.8846e-06	0.0024232	0.0011197	
0.003475	9.9277e-06	0.0024205	0.0011181	
0.0034636	9.9737e-06	0.0024178	0.0011165	
0.0034525	1.0021e-05	0.0024152	0.001115	
0.0034413	1.0059e-05	0.0024125	0.0011134	
0.0034304	1.0101e-05	0.0024099	0.0011119	
0.0034196	1.0145e-05	0.0024073	0.0011104	
0.003409	1.0192e-05	0.0024047	0.0011089	
0.0033984	1.0231e-05	0.0024021	0.0011074	
0.0033877	1.026e-05	0.0023995	0.0011058	
0.0033772	1.0291e-05	0.0023969	0.0011043	
0.0033668	1.0322e-05	0.0023944	0.0011028	
0.0033567	1.0356e-05	0.0023918	0.0011014	
0.0033464	1.038e-05	0.0023892	0.0010999	
0.0033361	1.0396e-05	0.0023866	0.0010984	
0.0033257	1.0403e-05	0.002384	0.0010969	
0.0033155	1.0411e-05	0.0023815	0.0010954	
0.0033053	1.041e-05	0.0023789	0.0010939	
0.0032952	1.0411e-05	0.0023763	0.0010924	
0.0032853	1.0415e-05	0.0023737	0.0010909	
0.0032754	1.041e-05	0.0023712	0.0010894	
0.0032656	1.0407e-05	0.0023686	0.0010879	
0.003256	1.0408e-05	0.0023661	0.0010865	
0.0032464	1.04e-05	0.0023635	0.001085	
0.0032369	1.0393e-05	0.002361	0.0010836	
0.0032277	1.0389e-05	0.0023585	0.0010821	
0.0032185	1.0387e-05	0.002356	0.0010807	
0.0032096	1.0386e-05	0.0023536	0.0010793	
0.0032005	1.0376e-05	0.0023511	0.0010779	
0.0031916	1.0368e-05	0.0023486	0.0010765	
