Trachypithecus_francoisi	Theropithecus_gelada	Sapajus_apella	Saimiri_boliviensis	Rhinopithecus_roxellana	Rhinopithecus_bieti	Propithecus_coquereli	Prolemur_simus	Pongo_abelii	Piliocolobus_tephrosceles	Papio_anubis	Pan_troglodytes	Pan_paniscus	Otolemur_garnettii	Nomascus_leucogenys	Microcebus_murinus	Mandrillus_leucophaeus	Macaca_nemestrina	Macaca_mulatta	Macaca_fascicularis	Hylobates_moloch	Homo_sapiens	Gorilla_gorilla	Chlorocebus_sabaeus	Cercocebus_atys	Cebus_capucinus	Carlito_syrichta	Callithrix_jacchus	Aotus_nancymaae	
0.030705	0.0071169	0.00082482	0.54169	0.0027387	0.0090777	0.017001	5.7125e-05	4.1451e-05	0.00023235	0.0016965	0.0033627	0.015345	0.0018809	0.017482	4.7012e-05	0.0097724	0.0085003	0.02282	0.0054071	0.00053491	0.0016296	0.0011005	7.6803e-05	0.0018208	0.00016652	2.816e-05	1.3771e-05	0.00023443	
0.030716	0.0071174	0.00082217	0.54215	0.0027354	0.0090737	0.017004	5.5808e-05	3.909e-05	0.00022496	0.0016941	0.0033608	0.015347	0.0018756	0.01748	4.5998e-05	0.0097737	0.0084993	0.022832	0.0054059	0.00053216	0.0016264	0.001096	7.4488e-05	0.0018183	0.00016365	2.7425e-05	1.2859e-05	0.00023138	
0.030728	0.007118	0.00081954	0.54263	0.0027323	0.0090698	0.017008	5.4551e-05	3.679e-05	0.0002177	0.0016918	0.0033589	0.015348	0.0018721	0.017479	4.5051e-05	0.009775	0.0084984	0.022843	0.0054048	0.00052948	0.0016233	0.0010914	7.2206e-05	0.0018158	0.0001608	2.6798e-05	1.1994e-05	0.00022845	
0.030739	0.0071185	0.0008169	0.5431	0.002729	0.0090658	0.017011	5.3256e-05	3.4449e-05	0.00021034	0.0016895	0.003357	0.01535	0.0018676	0.017478	4.4064e-05	0.0097763	0.0084974	0.022854	0.0054036	0.00052675	0.0016201	0.0010869	6.99e-05	0.0018132	0.00015793	2.6108e-05	1.1099e-05	0.00022544	
0.030751	0.0071191	0.00081428	0.5436	0.0027259	0.0090618	0.017015	5.2037e-05	3.2171e-05	0.00020312	0.0016872	0.0033551	0.015351	0.0018649	0.017477	4.3143e-05	0.0097778	0.0084965	0.022866	0.0054025	0.00052409	0.001617	0.0010824	6.7628e-05	0.0018107	0.00015508	2.3785e-05	1.0253e-05	0.00022254	
0.030762	0.0071196	0.00081165	0.54408	0.0027227	0.0090579	0.017019	5.0785e-05	2.9857e-05	0.00019582	0.0016849	0.0033532	0.015353	0.0018613	0.017476	4.2186e-05	0.0097792	0.0084955	0.022877	0.0054013	0.00052139	0.0016138	0.0010779	6.5335e-05	0.0018082	0.00015222	2.1278e-05	9.3808e-06	0.00021958	
0.030774	0.0071202	0.00080905	0.5446	0.0027195	0.0090539	0.017025	4.9599e-05	2.7611e-05	0.00018866	0.0016826	0.0033513	0.015355	0.0018595	0.017475	4.1301e-05	0.0097808	0.0084946	0.022889	0.0054002	0.00051877	0.0016107	0.0010734	6.3079e-05	0.0018057	0.00014939	1.9198e-05	8.5611e-06	0.00021675	
0.030786	0.0071208	0.00080643	0.5451	0.0027163	0.00905	0.017029	4.8375e-05	2.5324e-05	0.00018141	0.0016803	0.0033494	0.015356	0.0018568	0.017474	4.0375e-05	0.0097822	0.0084936	0.0229	0.005399	0.0005161	0.0016075	0.0010689	6.0799e-05	0.0018031	0.00014654	1.6922e-05	7.7112e-06	0.00021385	
0.030797	0.0071214	0.00080378	0.54558	0.0027131	0.009046	0.017033	4.7116e-05	2.2999e-05	0.00017408	0.001678	0.0033475	0.015358	0.0018536	0.017473	3.9412e-05	0.0097836	0.0084927	0.022912	0.0053979	0.00051339	0.0016043	0.0010644	5.8497e-05	0.0018006	0.00014366	1.4453e-05	6.8335e-06	0.00021087	
0.030809	0.0071219	0.00080112	0.54605	0.0027099	0.009042	0.017036	4.5821e-05	2.0636e-05	0.00016666	0.0016757	0.0033456	0.015359	0.0018493	0.017471	3.841e-05	0.0097849	0.0084917	0.022923	0.0053967	0.00051064	0.0016011	0.0010598	5.6172e-05	0.001798	0.00014077	1.1771e-05	5.9271e-06	0.00020783	
0.03082	0.0071225	0.00079849	0.54655	0.0027067	0.009038	0.017002	4.4808e-05	1.8337e-05	0.00015938	0.0016734	0.0033437	0.015361	0.0018338	0.01747	3.7656e-05	0.0097863	0.0084908	0.022934	0.0053955	0.00050795	0.001598	0.0010553	5.3882e-05	0.0017955	0.00013791	9.5722e-06	5.077e-06	0.00020492	
0.030832	0.007123	0.00079583	0.54704	0.0027034	0.009034	0.016966	4.3759e-05	1.5995e-05	0.000152	0.001671	0.0033417	0.015362	0.0018159	0.017469	3.6864e-05	0.0097877	0.0084898	0.022946	0.0053943	0.00050522	0.0015948	0.0010507	5.3863e-05	0.0017929	0.00013503	9.2414e-06	4.1945e-06	0.00020193	
0.030843	0.0071235	0.00079316	0.54751	0.0027002	0.0090299	0.016929	4.2678e-05	1.3613e-05	0.00014454	0.0016687	0.0033398	0.015364	0.0017958	0.017467	3.6038e-05	0.009789	0.0084889	0.022957	0.0053932	0.00050245	0.0015916	0.0010461	5.3834e-05	0.0017903	0.00013212	8.8758e-06	3.2827e-06	0.00019887	
0.030855	0.0071241	0.00079046	0.54796	0.002697	0.0090259	0.016894	4.1651e-05	1.3315e-05	0.00013722	0.0016664	0.0033379	0.015366	0.0017798	0.017466	3.5271e-05	0.0097904	0.0084879	0.022969	0.005392	0.00049963	0.0015883	0.0010414	5.2816e-05	0.0017878	0.0001292	8.5754e-06	3.1441e-06	0.00019558	
